Gene,UniProt,NAME,Description,Structure_ID,PDB,Structure_source,MW,I_inner_membrane,S_inner_membrane,"Copy number (glucose minimal media, pH 7)",LOCALIZATION,Localization_source,INCLUDE,COLOR,NOTES
b0367,Q47539,tauC,Taurine transport system permease protein TauC,REP-b0367_55_269_4tqu,b0367_55_269_4tqu-A_clean,SWISS-MODEL,29811.538600000003,,,,Inner_Membrane,iJL1678,,,
b0368,P37610,tauD,Alpha-ketoglutarate-dependent taurine dioxygenase,REP-1otj,1otj-A_clean,Protein Data Bank,32409.08780000003,,,,Cytosol,iJL1678,,,
b0369,P0ACB2,hemB,Delta-aminolevulinic acid dehydratase,REP-5mhb,5mhb-A_clean,Protein Data Bank,35624.4192,2.787626532112247e-07,,470.0,Cytosol,iJL1678,x,,
b0372,P0CF80,insF2,Transposase InsF for insertion sequence IS3B,REP-b0372_3_275_5hoo,b0372_3_275_5hoo-A_clean,SWISS-MODEL,33540.03960000001,,,,Cytosol,Arbitrary assignment,,,
b0373,P0CF67,insE2,Transposase InsE for insertion sequence IS3B,,,,11543.005199999989,,,,Cytosol,Arbitrary assignment,,,
b0375,P0AAP5,iprA,Inhibitor of hydrogen peroxide resistance,REP-b0375_14_201_4ev0,b0375_14_201_4ev0-A_clean,SWISS-MODEL,23955.356800000023,,,,Cytosol,Arbitrary assignment,,,
b0376,P0AD70,ampH,D-alanyl-D-alanine-carboxypeptidase/endopeptidase AmpH,REP-b0376_30_374_3rju,b0376_30_374_3rju-A_clean,SWISS-MODEL,41848.55800000002,4.501151970798882e-09,,1.0,Periplasm,EchoLOCATION predicted,,,
b0377,P0AFY6,sbmA,Peptide antibiotic transporter SbmA,,,,46458.773400000035,,0.0,0.0,Inner_Membrane,Heinemann 2016,,,
b0378,P77562,yaiW,Uncharacterized protein YaiW,,,,40413.86020000002,,,,Outer_Membrane,EchoLOCATION predicted,,,
b0379,P0AAP7,yaiY,Inner membrane protein YaiY,,,,11424.357199999993,,,,Inner_Membrane,EchoLOCATION predicted,,,
b0380,P0AAQ0,yaiZ,Uncharacterized protein YaiZ,,,,8097.355799999998,,,,Inner_Membrane,EchoLOCATION predicted,,,
b0381,P0A6J8,ddlA,D-alanine--D-alanine ligase A,REP-3i12,3i12-A_clean,Protein Data Bank,39315.32950000003,1.1150506128448989e-07,,188.0,Cytosol,iJL1678,x,,
b0382,P0AAN9,iraP,Anti-adapter protein IraP,REP-b0382_2_32_4r3z,b0382_2_32_4r3z-B_clean,SWISS-MODEL,9937.365199999993,6.636923594539584e-07,,1119.0,Cytosol,Heinemann 2016,x,,
b0383,P00634,phoA,Alkaline phosphatase,REP-3bdf,3bdf-A_clean,Protein Data Bank,49437.99920000007,,,,Periplasm,iJL1678,,,
b0384,P0AFM4,psiF,Phosphate starvation-inducible protein PsiF,,,,11686.425099999991,,,,Periplasm,EchoLOCATION predicted,,,
b0385,P0AAP1,adrA,Probable diguanylate cyclase AdrA,,,,41537.02010000009,,,,Inner_Membrane,EchoLOCATION experimental,,,
b0386,P0A9L8,proC,Pyrroline-5-carboxylate reductase,REP-b0386_1_268_4wji,b0386_1_268_4wji-A_clean,SWISS-MODEL,28144.588799999987,2.6037618033984605e-07,,439.0,Cytosol,iJL1678,x,,
b0387,P0A8D3,yaiI,UPF0178 protein YaiI,REP-b0387_14_147_4xsr,b0387_14_147_4xsr-A_clean,SWISS-MODEL,16969.26669999998,2.0165808955705615e-08,,34.0,Cytosol,EchoLOCATION predicted,x,,
b0388,P0A6E1,aroL,Shikimate kinase 2,REP-b0388_1_164_1e6c,b0388_1_164_1e6c-A_clean,SWISS-MODEL,19150.605999999996,5.391388335510707e-07,,909.0,Cytosol,iJL1678,x,,
b0389,P0AAN5,yaiA,Uncharacterized protein YaiA,REP-2kvt,2kvt-A_clean,Protein Data Bank,7281.113400000004,3.6179833714648315e-08,,61.0,Cytosol,EchoLOCATION predicted,x,,
b0390,P0AE28,aroM,Protein AroM,REP-b0390_36_210_5vyw,b0390_36_210_5vyw-A_clean,SWISS-MODEL,24916.615500000007,,,,Cytosol,EchoLOCATION predicted,,,
b0391,P0C037,ppnP,Pyrimidine/purine nucleoside phosphorylase,REP-b0391_2_94_2oyz,b0391_2_94_2oyz-A_clean,SWISS-MODEL,10234.277199999995,5.913326920246619e-07,,997.0,Cytosol,Arbitrary assignment,x,,
b0392,P75704,ykiA,Putative uncharacterized protein YkiA,,,,10618.030799999988,,,,Cytosol,EchoLOCATION predicted,,,
b0393,P36767,rdgC,Recombination-associated protein RdgC,REP-2owl,2owl-A_clean,Protein Data Bank,33992.963400000044,2.8350754943609664e-07,,478.0,Cytosol,Heinemann 2016,x,,
b0394,P23917,mak,Fructokinase,REP-b0394_1_301_4db3,b0394_1_301_4db3-A_clean,SWISS-MODEL,32499.37440000002,5.27869705017e-08,,89.0,Cytosol,iJL1678,x,,
b0396,P23910,araJ,Putative transporter AraJ,,,,41925.8784,,,,Inner_Membrane,EchoLOCATION predicted,,,
b0397,P13458,sbcC,Nuclease SbcCD subunit C,,,,118719.66150000054,3.736605777086629e-08,,63.0,Cytosol,EchoLOCATION predicted,,,
b0398,P0AG76,sbcD,Nuclease SbcCD subunit D,REP-4m0v,4m0v-A_clean,Protein Data Bank,44712.96620000007,7.1173443373078655e-09,,12.0,Cytosol,EchoLOCATION predicted,x,,
b0399,P0AFJ5,phoB,Phosphate regulon transcriptional regulatory protein PhoB,REP-2jba,2jba-A_clean,Protein Data Bank,26433.075600000004,1.1862240562179775e-08,,20.0,Cytosol,Heinemann 2016,x,,
b0400,P08400,phoR,Phosphate regulon sensor protein PhoR,REP-b0400_64_422_4i5s,b0400_64_422_4i5s-A_clean,SWISS-MODEL,49628.79640000007,,,,Inner_Membrane,EchoLOCATION predicted,,,
b0401,P0AD99,brnQ,Branched-chain amino acid transport system 2 carrier protein,,,,46208.158800000085,,,,Inner_Membrane,iJL1678,,,
b0402,P0AAE2,proY,Proline-specific permease ProY,,,,50215.13430000006,,,,Inner_Membrane,EchoLOCATION predicted,,,
b0403,P21517,malZ,Maltodextrin glucosidase,REP-5bn7,5bn7-A_clean,Protein Data Bank,69040.17260000018,,,,Cytosol,iJL1678,,,
b0404,P21515,acpH,Acyl carrier protein phosphodiesterase,,,,22960.831899999997,,,,Cytosol,iJL1678,,,
b0405,P0A7F9,queA,S-adenosylmethionine:tRNA ribosyltransferase-isomerase,REP-b0405_4_343_1yy3,b0405_4_343_1yy3-A_clean,SWISS-MODEL,39430.36040000005,2.12334106063018e-07,,358.0,Cytosol,iJL1678,x,,
b0406,P0A847,tgt,Queuine tRNA-ribosyltransferase,REP-b0406_1_366_1ozm,b0406_1_366_1ozm-A_clean,SWISS-MODEL,42593.19869999999,5.990431483900786e-07,,1010.0,Cytosol,iJL1678,x,,
b0407,P0ADZ7,yajC,Sec translocon accessory complex subunit YajC,REP-2rdd,2rdd-B_clean,Protein Data Bank,11887.008199999986,,0.009624153840650004,6021.0,Inner_Membrane,Heinemann 2016,x,,
b0408,P0AG90,secD,Protein translocase subunit SecD,REP-5mg3,5mg3-D_clean,Protein Data Bank,66631.33450000023,,0.0003596470045085951,225.0,Inner_Membrane,iJL1678,x,,
b0409,P0AG93,secF,Protein translocase subunit SecF,REP-5mg3,5mg3-F_clean,Protein Data Bank,35381.96850000004,,0.0004139936629676717,259.0,Inner_Membrane,iJL1678,x,,
b0410,P0AAQ2,yajD,Putative HNH nuclease YajD,,,,13363.849799999989,1.364157664650674e-07,,230.0,Cytosol,EchoLOCATION predicted,,,
b0411,P0A927,tsx,Nucleoside-specific channel-forming protein tsx,REP-1tly,1tly-A_clean,Protein Data Bank,33588.58699999999,,,1348.0,Outer_Membrane,iJL1678,,,
b0412,P46122,yajI,Uncharacterized lipoprotein YajI,REP-2jwy,2jwy-A_clean,Protein Data Bank,19560.058899999985,,,,Outer_Membrane,EchoLOCATION predicted,,,
b0413,P0A8D0,nrdR,Transcriptional repressor NrdR,,,,17228.715999999993,8.244257190714943e-08,,139.0,Cytosol,Arbitrary assignment,,,
b0414,P25539,ribD,Riboflavin biosynthesis protein RibD,REP-2obc,2obc-A_clean,Protein Data Bank,40337.85500000001,2.8469377349231462e-08,,48.0,Cytosol,iJL1678,x,,
b0415,P61714,ribE,"6,7-dimethyl-8-ribityllumazine synthase",REP-3nq4,3nq4-1_clean,Protein Data Bank,16156.30269999999,5.539073230509846e-06,,9339.0,Cytosol,iJL1678,x,,
b0416,P0A780,nusB,N utilization substance protein B,REP-3d3b,3d3b-A_clean,Protein Data Bank,15688.856199999993,5.326146012418719e-07,,898.0,Cytosol,iJL1678,x,,
b0417,P0AGG0,thiL,Thiamine-monophosphate kinase,REP-b0417_5_323_5dd7,b0417_5_323_5dd7-A_clean,SWISS-MODEL,35070.44230000001,3.9145393855193256e-08,,66.0,Cytosol,iJL1678,x,,
b0418,P18200,pgpA,Phosphatidylglycerophosphatase A,,,,19417.899699999998,,,,Inner_Membrane,iJL1678,,,
b0419,P77735,yajO,Uncharacterized oxidoreductase YajO,REP-b0419_1_312_4aub,b0419_1_312_4aub-A_clean,SWISS-MODEL,36419.726400000014,5.3973194557917976e-08,,91.0,Cytosol,EchoLOCATION predicted,x,,
b0420,P77488,dxs,1-deoxy-D-xylulose-5-phosphate synthase,REP-2o1s,2o1s-A_clean,Protein Data Bank,67616.15660000016,1.1743618156557977e-07,,198.0,Cytosol,iJL1678,x,,
b0421,P22939,ispA,Farnesyl diphosphate synthase,REP-1rqj,1rqj-A_clean,Protein Data Bank,32159.26200000001,2.5503817208686517e-08,,43.0,Cytosol,iJL1678,x,,
b0422,P0A8G9,xseB,Exodeoxyribonuclease 7 small subunit,REP-b0422_6_75_1vp7,b0422_6_75_1vp7-A_clean,SWISS-MODEL,8951.819399999995,4.952485434710056e-07,,835.0,Cytosol,Heinemann 2016,x,,
b0423,P77718,thiI,tRNA sulfurtransferase,REP-b0423_1_384_4kr6,b0423_1_384_4kr6-A_clean,SWISS-MODEL,54972.423200000034,1.1387750939692585e-07,,192.0,Cytosol,iJL1678,x,,
b0424,Q46948,yajL,Protein deglycase 3,REP-5sy4,5sy4-A_clean,Protein Data Bank,20776.844099999995,1.7615427234836968e-07,,297.0,Cytosol,EchoLOCATION predicted,x,,
b0425,P0A9J4,panE,2-dehydropantoate 2-reductase,REP-1yon,1yon-A_clean,Protein Data Bank,33870.375600000014,,,,Cytosol,iJL1678,,,
b0426,P0A8E7,yajQ,UPF0234 protein YajQ,REP-b0426_2_148_5n9g,b0426_2_148_5n9g-A_clean,SWISS-MODEL,18343.636999999977,4.46316801152014e-06,,7525.0,Cytosol,EchoLOCATION predicted,x,,
b0427,P77726,yajR,Inner membrane transport protein YajR,REP-3wdo,3wdo-A_clean,Protein Data Bank,48809.374500000056,,,,Inner_Membrane,EchoLOCATION experimental,,,
b0428,P0AEA5,cyoE,Protoheme IX farnesyltransferase,,,,32248.10950000005,,,,Inner_Membrane,iJL1678,,,
b0429,P0ABJ6,cyoD,Cytochrome bo(3) ubiquinol oxidase subunit 4,,,,12029.336699999996,,0.0002221819272297543,139.0,Inner_Membrane,iJL1678,,,
b0430,P0ABJ3,cyoC,Cytochrome bo(3) ubiquinol oxidase subunit 3,REP-1fft,1fft-C_clean,Protein Data Bank,22622.370800000008,,0.0,0.0,Inner_Membrane,iJL1678,x,,
b0431,P0ABI8,cyoB,Cytochrome bo(3) ubiquinol oxidase subunit 1,REP-1fft,1fft-A_clean,Protein Data Bank,74367.01550000033,,0.0008375779127222392,524.0,Inner_Membrane,iJL1678,x,,
b0432,P0ABJ1,cyoA,Cytochrome bo(3) ubiquinol oxidase subunit 2,REP-1fft,1fft-B_clean,Protein Data Bank,34910.89750000004,,0.0011972249172308342,749.0,Inner_Membrane,iJL1678,x,,
b0433,P0AE16,ampG,Protein AmpG,,,,53244.53680000006,,,,Inner_Membrane,iJL1678,,,
b0434,P0ADA5,yajG,Uncharacterized lipoprotein YajG,REP-b0434_22_180_2iqi,b0434_22_180_2iqi-A_clean,SWISS-MODEL,20949.788400000005,,,2226.0,Outer_Membrane,Heinemann 2016,,,
b0435,P0ABE2,bolA,DNA-binding transcriptional regulator BolA,REP-2dhm,2dhm-A_clean,Protein Data Bank,11993.532499999987,2.3665169921548652e-07,,399.0,Cytosol,EchoLOCATION predicted,x,,
b0436,P0A850,tig,Trigger factor,REP-1w26,1w26-A_clean,Protein Data Bank,48192.08030000006,1.491498817085674e-05,,25147.0,Cytosol,iJL1678,x,,
b0437,P0A6G7,clpP,ATP-dependent Clp protease proteolytic subunit,REP-3mt6,3mt6-A_clean,Protein Data Bank,23186.409800000005,3.97088502818968e-06,,6695.0,Cytosol,Heinemann 2016,x,,
b0438,P0A6H1,clpX,ATP-dependent Clp protease ATP-binding subunit ClpX,REP-3hws,3hws-A_clean,Protein Data Bank,46355.45030000003,1.4851525183849078e-06,,2504.0,Cytosol,EchoLOCATION predicted,x,,
b0439,P0A9M0,lon,Lon protease,REP-b0439_7_245_3ljc,b0439_7_245_3ljc-A_clean,SWISS-MODEL,87437.13850000052,6.292918618236371e-07,,1061.0,Cytosol,Heinemann 2016,x,,
b0440,P0ACF4,hupB,DNA-binding protein HU-beta,REP-4p3v,4p3v-A_clean,Protein Data Bank,9225.462599999992,3.1057718239899085e-05,,52364.0,Cytosol,EchoLOCATION predicted,x,,
b0441,P0ADY1,ppiD,Peptidyl-prolyl cis-trans isomerase D,REP-b0441_38_509_1m5y,b0441_38_509_1m5y-A_clean,SWISS-MODEL,68149.03610000024,,0.0014258005689851859,892.0,Inner_Membrane,Heinemann 2016,x,,
b0442,P0AAR8,ybaV,Uncharacterized protein YbaV,REP-b0442_57_122_2duy,b0442_b0442_57_122_2duy-A_clean_clean,SWISS-MODEL,12703.506199999993,,,,Periplasm,EchoLOCATION predicted,,,
b0443,P77712,fadM,Long-chain acyl-CoA thioesterase FadM,REP-1njk,1njk-A_clean,Protein Data Bank,15088.126299999985,,,,Cytosol,Arbitrary assignment,,,
b0444,P77756,queC,7-cyano-7-deazaguanine synthase,REP-2pg3,2pg3-A_clean,Protein Data Bank,25513.893700000008,1.482780070272472e-07,,250.0,Cytosol,iJL1678,x,,
b0445,P46890,ybaE,Uncharacterized protein YbaE,REP-b0445_121_562_5f1q,b0445_121_562_5f1q-A_clean,SWISS-MODEL,64990.74650000013,,,,Cytosol,EchoLOCATION predicted,,,
b0446,P46891,cof,HMP-PP phosphatase,REP-b0446_2_262_3pgv,b0446_2_262_3pgv-A_clean,SWISS-MODEL,30370.595700000005,,,,Cytosol,iJL1678,,,
b0447,P0ACJ5,decR,DNA-binding transcriptional activator DecR,REP-b0447_2_152_3i4p,b0447_2_152_3i4p-A_clean,SWISS-MODEL,17437.179399999997,,,,Cytosol,Arbitrary assignment,,,
b0448,P77265,mdlA,Multidrug resistance-like ATP-binding protein MdlA,REP-b0448_3_572_5mkk,b0448_b0448_3_572_5mkk-A_clean_clean,SWISS-MODEL,66016.52500000014,,,,Inner_Membrane,EchoLOCATION predicted,,,
b0449,P0AAG5,mdlB,Multidrug resistance-like ATP-binding protein MdlB,REP-b0449_9_577_5mkk,b0449_b0449_9_577_5mkk-A_clean_clean,SWISS-MODEL,65221.71720000013,,,,Inner_Membrane,EchoLOCATION predicted,,,
b0450,P0AC55,glnK,Nitrogen regulatory protein P-II 2,REP-2ns1,2ns1-B_clean,Protein Data Bank,12259.057799999988,6.35816094132836e-07,,1072.0,Cytosol,EchoLOCATION experimental,x,,
b0451,P69681,amtB,Ammonia channel,REP-1xqf,1xqf-A_clean,Protein Data Bank,44514.172099999996,,,,Inner_Membrane,iJL1678,,,
b0452,P0AGG2,tesB,Acyl-CoA thioesterase 2,REP-1c8u,1c8u-A_clean,Protein Data Bank,31965.918600000045,7.532522756984157e-08,,127.0,Cytosol,iJL1678,x,,
b0453,P77717,ybaY,Uncharacterized lipoprotein YbaY,REP-b0453_47_163_2eef,b0453_47_163_2eef-A_clean,SWISS-MODEL,19430.95399999997,,,1322.0,Outer_Membrane,Heinemann 2016,,,
b0454,P0AFP2,atl,DNA base-flipping protein,REP-b0454_12_113_1qnt,b0454_12_113_1qnt-A_clean,SWISS-MODEL,14449.372299999992,,,,Cytosol,Arbitrary assignment,,,
b0456,P0AAQ6,ybaA,Uncharacterized protein YbaA,REP-2okq,2okq-A_clean,Protein Data Bank,13318.103999999996,,,,Cytosol,EchoLOCATION predicted,,,
b0457,P77473,ylaB,Putative cyclic-di-GMP phosphodiesterase YlaB,,,,58719.66580000012,,,,Inner_Membrane,EchoLOCATION predicted,,,
b0458,P0AAS0,ylaC,Inner membrane protein YlaC,,,,18266.955399999995,,0.00015025252632803527,94.0,Inner_Membrane,Heinemann 2016,,,
b0459,P77791,maa,Maltose O-acetyltransferase,REP-1ocx,1ocx-A_clean,Protein Data Bank,20095.759199999986,2.7876265321122472e-08,,47.0,Cytosol,iJL1678,x,,
b0460,P0ACE3,hha,Hemolysin expression-modulating protein Hha,REP-1jw2,1jw2-A_clean,Protein Data Bank,8627.903899999994,1.9809941738840223e-07,,334.0,Cytosol,EchoLOCATION predicted,x,,
b0461,P0AAR0,tomB,Hha toxicity modulator TomB,REP-b0461_1_122_2mn2,b0461_1_122_2mn2-A_clean,SWISS-MODEL,14557.228399999985,,,,Cytosol,Arbitrary assignment,,,
b0462,P31224,acrB,Multidrug efflux pump subunit AcrB,REP-4dx5,4dx5-A_clean,Protein Data Bank,113572.3049000008,,0.0004395685610660607,275.0,Inner_Membrane,iJL1678,x,,
b0463,P0AE06,acrA,Multidrug efflux pump subunit AcrA,REP-5ng5,5ng5-A_clean,Protein Data Bank,42196.175000000054,,0.0035836825960367563,2242.0,Inner_Membrane,iJL1678,x,,
b0464,P0ACS9,acrR,HTH-type transcriptional regulator AcrR,REP-3bcg,3bcg-A_clean,Protein Data Bank,24766.375100000023,7.710456365416853e-09,,13.0,Cytosol,EchoLOCATION predicted,x,,
b0465,P77338,mscK,Mechanosensitive channel MscK,,,,127213.72520000068,,7.992155655746558e-06,5.0,Inner_Membrane,Heinemann 2016,,,
b0466,P45807,ybaM,Uncharacterized protein YbaM,REP-b0466_15_49_4x86,b0466_15_49_4x86-A_clean,SWISS-MODEL,6024.8042000000005,,,,Cytosol,EchoLOCATION predicted,,,
b0467,P23862,priC,Primosomal replication protein N'',REP-2rt6,2rt6-A_clean,Protein Data Bank,20375.120900000013,,,,Cytosol,EchoLOCATION predicted,,,
b0468,P0AAR5,ybaN,Inner membrane protein YbaN,,,,14769.96989999999,,,,Inner_Membrane,EchoLOCATION predicted,,,
b0469,P69503,apt,Adenine phosphoribosyltransferase,REP-2dy0,2dy0-A_clean,Protein Data Bank,19858.61569999999,1.466766045513529e-06,,2473.0,Cytosol,iJL1678,x,,
b0470,P06710,dnaX,DNA polymerase III subunit tau,REP-1jr3,1jr3-A_clean,Protein Data Bank,71136.8961000003,8.896680421634832e-09,,15.0,Cytosol,EchoLOCATION predicted,x,,
b0471,P0A8B5,ybaB,Nucleoid-associated protein YbaB,REP-1pug,1pug-A_clean,Protein Data Bank,12014.714199999991,4.337428261561035e-06,,7313.0,Cytosol,Heinemann 2016,x,,
b0472,P0A7H6,recR,Recombination protein RecR,REP-b0472_3_199_3vdp,b0472_3_199_3vdp-A_clean,SWISS-MODEL,21962.783900000006,3.795916979897528e-08,,64.0,Cytosol,EchoLOCATION predicted,x,,
b0473,P0A6Z3,htpG,Chaperone protein HtpG,REP-2ioq,2ioq-A_clean,Protein Data Bank,71421.6357000003,1.5509879535050058e-06,,2615.0,Cytosol,Heinemann 2016,x,,
b0474,P69441,adk,Adenylate kinase,REP-4x8l,4x8l-A_clean,Protein Data Bank,23585.735300000008,3.434118642751045e-06,,5790.0,Cytosol,iJL1678,x,,
b0475,P23871,hemH,Ferrochelatase,REP-b0475_2_320_4kmm,b0475_2_320_4kmm-A_clean,SWISS-MODEL,35883.96540000001,1.6014024758942697e-08,,27.0,Cytosol,iJL1678,x,,
b0476,P23872,aes,Acetyl esterase,REP-4krx,4krx-A_clean,Protein Data Bank,36033.67210000004,,,,Cytosol,EchoLOCATION predicted,,,
b0477,P0AEW6,gsk,Inosine-guanosine kinase,REP-b0477_32_428_3ubo,b0477_32_428_3ubo-A_clean,SWISS-MODEL,48448.21730000007,8.244257190714943e-08,,139.0,Cytosol,iJL1678,x,,
b0478,P39830,ybaL,Putative cation/proton antiporter YbaL,REP-b0478_6_389_5bz3,b0478_6_389_5bz3-A_clean,SWISS-MODEL,59422.81930000005,,6.713410750827108e-05,42.0,Inner_Membrane,Heinemann 2016,x,,
b0479,P52067,fsr,Fosmidomycin resistance protein,,,,43304.98470000001,,,,Inner_Membrane,EchoLOCATION predicted,,,
b0480,P07024,ushA,Protein UshA,REP-1ush,1ush-A_clean,Protein Data Bank,60823.23910000007,9.407407618969664e-07,,209.0,Periplasm,iJL1678,,,
b0481,P0AAR3,ybaK,Cys-tRNA(Pro)/Cys-tRNA(Cys) deacylase YbaK,REP-2dxa,2dxa-A_clean,Protein Data Bank,17092.713699999993,4.1339908359196517e-07,,697.0,Cytosol,Heinemann 2016,x,,
b0482,P77301,ybaP,Uncharacterized protein YbaP,REP-b0482_30_169_1xuu,b0482_30_169_1xuu-A_clean,SWISS-MODEL,29902.136599999998,,,,Cytosol,EchoLOCATION predicted,,,
b0483,P0A9T6,ybaQ,Uncharacterized HTH-type transcriptional regulator YbaQ,REP-2eby,2eby-A_clean,Protein Data Bank,13170.942299999988,7.591833959795057e-08,,128.0,Cytosol,EchoLOCATION predicted,x,,
b0484,Q59385,copA,Copper-exporting P-type ATPase A,REP-b0484_100_833_3j09,b0484_100_833_3j09-A_clean,SWISS-MODEL,87872.13040000056,,0.004809679273628278,3009.0,Inner_Membrane,iJL1678,x,,
b0485,P77454,glsA1,Glutaminase 1,REP-1u60,1u60-A_clean,Protein Data Bank,32902.94120000001,,,,Cytosol,iJL1678,,,
b0486,P77400,ybaT,Inner membrane transport protein YbaT,,,,45658.09680000003,,,,Inner_Membrane,EchoLOCATION predicted,,,
b0487,P0A9G4,cueR,HTH-type transcriptional regulator CueR,REP-1q06,1q06-A_clean,Protein Data Bank,15234.99989999999,2.2538257068141573e-08,,38.0,Cytosol,Heinemann 2016,x,,
b0488,P0AAS3,ybbJ,Inner membrane protein YbbJ,,,,16938.6185,,,,Inner_Membrane,EchoLOCATION predicted,,,
b0489,P0AA53,qmcA,Protein QmcA,REP-b0489_21_172_4hl8,b0489_21_172_4hl8-A_clean,SWISS-MODEL,33742.71050000004,,,,Cytosol,Arbitrary assignment,,,
b0490,P77279,fetA,Probable iron export ATP-binding protein FetA,REP-b0490_7_214_3d31,b0490_7_214_3d31-A_clean,SWISS-MODEL,25381.69650000002,,0.00013906350840999009,87.0,Inner_Membrane,Heinemann 2016,x,,
b0491,P77307,fetB,Probable iron export permease protein FetB,,,,28164.46340000001,,,,Cytosol,Arbitrary assignment,,,
b0492,P77395,ybbN,Uncharacterized protein YbbN,REP-3qou,3qou-A_clean,Protein Data Bank,31790.672800000004,1.417537747180483e-06,,2390.0,Cytosol,Heinemann 2016,x,,
b0493,P0AFP4,ybbO,Uncharacterized oxidoreductase YbbO,REP-b0493_15_259_1iol,b0493_15_259_1iol-A_clean,SWISS-MODEL,29409.843300000004,2.8469377349231462e-08,,48.0,Cytosol,EchoLOCATION predicted,x,,
b0494,P0ADA1,tesA,Thioesterase 1/protease 1/lysophospholipase L1,REP-1ivn,1ivn-A_clean,Protein Data Bank,23621.871499999994,7.832004429190054e-07,,174.0,Periplasm,iJL1678,,,
b0495,P0A9T8,ybbA,Uncharacterized ABC transporter ATP-binding protein YbbA,REP-b0495_6_227_1f3o,b0495_6_227_1f3o-A_clean,SWISS-MODEL,24532.6487,1.1862240562179776e-09,,2.0,Cytosol,EchoLOCATION predicted,x,,
b0496,P77504,ybbP,Uncharacterized ABC transporter permease YbbP,,,,89331.08540000035,,,,Inner_Membrane,EchoLOCATION predicted,,,
b0497,P16919,rhsD,Protein RhsD,REP-b0497_422_1013_4o9x,b0497_422_1013_4o9x-A_clean,SWISS-MODEL,159722.60090000005,,,,Cytosol,EchoLOCATION predicted,,,
b0498,P33668,ybbC,Uncharacterized protein YbbC,,,,14152.25999999999,,,,Outer_Membrane,EchoLOCATION predicted,,,
b0499,P77759,ylbH,Putative uncharacterized protein YlbH,REP-b0499_1_94_4o9x,b0499_1_94_4o9x-A_clean,SWISS-MODEL,26959.823300000022,,,,Cytosol,EchoLOCATION predicted,,,
b0501,P33669,ybbD,Putative uncharacterized protein YbbD,,,,10051.745599999995,,,,Inner_Membrane,EchoLOCATION predicted,,,
b0502,P77688,ylbG,Putative uncharacterized protein YlbG,REP-b0502_12_117_2lvs,b0502_12_117_2lvs-A_clean,SWISS-MODEL,13915.634499999987,,,,Cytosol,EchoLOCATION predicted,,,
b0503,P33667,selU,tRNA 2-selenouridine synthase,REP-b0503_105_258_1qva,b0503_105_258_1qva-A_clean,SWISS-MODEL,41110.31730000004,,,,Cytosol,Arbitrary assignment,,,
b0504,P0ACR0,allS,HTH-type transcriptional activator AllS,REP-b0504_2_299_3k1m,b0504_2_299_3k1m-A_clean,SWISS-MODEL,34511.25800000004,,,,Cytosol,EchoLOCATION predicted,,,
b0505,P77731,allA,Ureidoglycolate lyase,REP-1xsq,1xsq-A_clean,Protein Data Bank,18169.33249999999,,,,Cytosol,iJL1678,,,
b0506,P0ACN4,allR,HTH-type transcriptional repressor AllR,REP-b0506_22_266_2xrn,b0506_22_266_2xrn-A_clean,SWISS-MODEL,29269.324400000012,7.41390035136236e-08,,125.0,Cytosol,EchoLOCATION predicted,x,,
b0507,P0AEP7,gcl,Glyoxylate carboligase,REP-2pan,2pan-A_clean,Protein Data Bank,64731.0383000001,,,,Cytosol,iJL1678,,,
b0508,P30147,hyi,Hydroxypyruvate isomerase,REP-b0508_1_258_3ngf,b0508_1_258_3ngf-A_clean,SWISS-MODEL,29377.108600000014,,,,Cytosol,iJL1678,,,
b0509,P77161,glxR,2-hydroxy-3-oxopropionate reductase,REP-1yb4,1yb4-A_clean,Protein Data Bank,30800.236500000025,,,,Cytosol,iJL1678,,,
b0510,P75711,ybbV,Uncharacterized protein YbbV,,,,10843.96599999999,,,,Inner_Membrane,EchoLOCATION predicted,,,
b0511,P75712,ybbW,Putative allantoin permease,,,,52455.427700000015,,,,Inner_Membrane,iJL1678,,,
b0512,P77671,allB,Allantoinase,REP-3e74,3e74-A_clean,Protein Data Bank,49601.06460000006,,,,Cytosol,iJL1678,,,
b0513,P77328,ybbY,Putative purine permease YbbY,,,,47238.79450000002,,,,Inner_Membrane,EchoLOCATION predicted,,,
b0514,P77364,glxK,Glycerate 3-kinase,REP-b0514_1_380_3cwc,b0514_1_380_3cwc-A_clean,SWISS-MODEL,38734.06629999998,,,,Cytosol,iJL1678,,,
b0515,P75713,allE,(S)-ureidoglycine aminohydrolase,REP-b0515_9_261_1rc6,b0515_9_261_1rc6-A_clean,SWISS-MODEL,28730.082400000003,,,,Cytosol,Arbitrary assignment,,,
b0516,P77425,allC,Allantoate amidohydrolase,REP-4pxd,4pxd-A_clean,Protein Data Bank,45693.48650000005,,,,Cytosol,iJL1678,,,
b0517,P77555,allD,Ureidoglycolate dehydrogenase (NAD(+)),REP-1xrh,1xrh-A_clean,Protein Data Bank,37966.6857,,,,Cytosol,iJL1678,,,
b0518,Q47208,fdrA,Protein FdrA,REP-3dmy,3dmy-A_clean,Protein Data Bank,58595.39270000018,,,,Inner_Membrane,EchoLOCATION predicted,,,
b0520,P0AAS5,ylbF,Uncharacterized protein YlbF,,,,29596.75089999999,,,,Cytosol,EchoLOCATION predicted,,,
