Gene,UniProt,NAME,Description,Structure_ID,Structure_file,Structure_source,MW,MOLARITY,"Copy number (glucose minimal media, pH 7)",LOCALIZATION,Localization_source,INCLUDE,COLOR,NOTES
b0350,P77608,mhpD,2-keto-4-pentenoate hydratase,REP-2wqt,2wqt-A_clean.pdb,Protein Data Bank,28889.54260000001,,,Cytosol,iJL1678,,,
b0351,P77580,mhpF,Acetaldehyde dehydrogenase,REP-3_308_1nvm.2.B_59f292b1e6291d6b6eab2e79,b0351_3_308_1nvm_clean.pdb,SWISS-MODEL,33442.10610000002,,,Cytosol,iJL1678,,,
b0352,P51020,mhpE,4-hydroxy-2-oxovalerate aldolase,REP-1nvm,1nvm-A_clean.pdb,Protein Data Bank,36470.04080000001,,,Cytosol,iJL1678,,,
b0353,P77589,mhpT,3-(3-hydroxy-phenyl)propionate transporter,REP-E00326,E00326_clean-X_clean.pdb,metaTASSER,41550.294100000036,,,Inner_Membrane,iJL1678,,,
b0354,P51024,yaiL,Uncharacterized protein YaiL,REP-E00327,E00327_clean-X_clean.pdb,metaTASSER,19922.50999999998,3.855228182708427e-08,65.0,Cytosol,EchoLOCATION predicted,x,,
b0355,P51025,frmB,S-formylglutathione hydrolase FrmB,REP-3_271_4b6g.1.A_59c9ffd7a52be71c5fa97607,b0355_3_271_4b6g_clean.pdb,SWISS-MODEL,31424.11470000001,1.1862240562179776e-09,2.0,Cytosol,iJL1678,x,,
b0356,P25437,frmA,S-(hydroxymethyl)glutathione dehydrogenase,REP-1_368_3qj5.1.A_59f22767ad01f05254716875,b0356_1_368_3qj5_clean.pdb,SWISS-MODEL,39358.554400000074,3.256185034318348e-07,549.0,Cytosol,iJL1678,x,,
b0357,P0AAP3,frmR,Transcriptional repressor FrmR,REP-5lbm,5lbm-A_clean.pdb,Protein Data Bank,10317.610399999992,1.4531244688670223e-07,245.0,Cytosol,Heinemann 2016,x,,
b0358,Q47534,yaiO,Outer membrane protein YaiO,REP-E00331,E00331_clean-X_clean.pdb,metaTASSER,29039.975499999993,,,Periplasm,EchoLOCATION predicted,,,
b0360,P0CF40,insC1,Transposase InsC for insertion element IS2A,REP-INSC5_ECOLI,INSC5_ECOLI_model1_clean-X_clean.pdb,I-TASSER,13451.465699999992,,,Cytosol,Arbitrary assignment,,,
b0361,P0CF53,insD1,Transposase InsD for insertion element IS2A,REP-6_289_4fcy.1.A_59fc8e7cf4763dcece331fe0,b0361_6_289_4fcy_clean.pdb,SWISS-MODEL,34397.730400000015,,,Cytosol,Arbitrary assignment,,,
b0363,Q47536,yaiP,Uncharacterized glycosyltransferase YaiP,REP-E00334,E00334_clean-X_clean.pdb,metaTASSER,44707.99750000003,,,Inner_Membrane,EchoLOCATION predicted,,,
b0364,P71311,yaiS,Uncharacterized deacetylase YaiS,REP-4_185_3we7.1.A_59cb5e98c730d4997c9a5e95,b0364_4_185_3we7_clean.pdb,SWISS-MODEL,20486.314499999997,,,Cytosol,EchoLOCATION predicted,,,
b0365,Q47537,tauA,Taurine-binding periplasmic protein,REP-21_305_2zzv.1.A_59f2cf83262325603f48080a,b0365_21_305_2zzv_clean.pdb,SWISS-MODEL,34265.6565,,,Periplasm,iJL1678,,,
b0366,Q47538,tauB,Taurine import ATP-binding protein TauB,REP-2_243_2yyz.1.A_59ca3b7d1405504d0035a4e1,b0366_2_243_2yyz_clean.pdb,SWISS-MODEL,28296.399500000014,,,Cytosol,iJL1678,,,
b0367,Q47539,tauC,Taurine transport system permease protein TauC,REP-E00338,E00338_clean-X_clean.pdb,metaTASSER,29811.538600000003,,,Inner_Membrane,iJL1678,,,
b0368,P37610,tauD,Alpha-ketoglutarate-dependent taurine dioxygenase,REP-1otj,1otj-A_clean.pdb,Protein Data Bank,32409.08780000003,,,Cytosol,iJL1678,,,
b0369,P0ACB2,hemB,Delta-aminolevulinic acid dehydratase,REP-5mhb,5mhb-A_clean.pdb,Protein Data Bank,35624.4192,2.787626532112247e-07,470.0,Cytosol,iJL1678,x,,
b0372,P0CF80,insF2,Transposase InsF for insertion sequence IS3B,REP-3_275_5hoo.1.B_59c9da31ad01f04c4090d532,b0372_3_275_5hoo_clean.pdb,SWISS-MODEL,33540.03960000001,,,Cytosol,Arbitrary assignment,,,
b0373,P0CF67,insE2,Transposase InsE for insertion sequence IS3B,,,,11543.005199999989,,,Cytosol,Arbitrary assignment,,,
b0375,P0AAP5,iprA,Inhibitor of hydrogen peroxide resistance,REP-14_201_4ev0.1.A_59cb0158573f2036571d9c83,b0375_14_201_4ev0_clean.pdb,SWISS-MODEL,23955.356800000023,,,Cytosol,Arbitrary assignment,,,
b0376,P0AD70,ampH,D-alanyl-D-alanine-carboxypeptidase/endopeptidase AmpH,REP-30_374_3rju.1.A_59f24804eb80f78b70e236eb,b0376_30_374_3rju_clean.pdb,SWISS-MODEL,41848.55800000002,4.501151970798882e-09,1.0,Periplasm,EchoLOCATION predicted,,,
b0377,P0AFY6,sbmA,Peptide antibiotic transporter SbmA,REP-E00345,E00345_clean-X_clean.pdb,metaTASSER,46458.773400000035,,0.0,Inner_Membrane,Heinemann 2016,x,,
b0378,P77562,yaiW,Uncharacterized protein YaiW,REP-E00346,E00346_clean-X_clean.pdb,metaTASSER,40413.86020000002,,,Outer_Membrane,EchoLOCATION predicted,,,
b0379,P0AAP7,yaiY,Inner membrane protein YaiY,REP-E00347,E00347_clean-X_clean.pdb,metaTASSER,11424.357199999993,,,Inner_Membrane,EchoLOCATION predicted,,,
b0380,P0AAQ0,yaiZ,Uncharacterized protein YaiZ,REP-E00348,E00348_clean-X_clean.pdb,metaTASSER,8097.355799999998,,,Inner_Membrane,EchoLOCATION predicted,,,
b0381,P0A6J8,ddlA,D-alanine--D-alanine ligase A,REP-3i12,3i12-A_clean.pdb,Protein Data Bank,39315.32950000003,1.1150506128448989e-07,188.0,Cytosol,iJL1678,x,,
b0382,P0AAN9,iraP,Anti-adapter protein IraP,REP-E00350,E00350_clean-X_clean.pdb,metaTASSER,9937.365199999993,6.636923594539584e-07,1119.0,Cytosol,Heinemann 2016,x,,
b0383,P00634,phoA,Alkaline phosphatase,REP-3bdf,3bdf-A_clean.pdb,Protein Data Bank,49437.99920000007,,,Periplasm,iJL1678,,,
b0384,P0AFM4,psiF,Phosphate starvation-inducible protein PsiF,REP-E00352,E00352_clean-X_clean.pdb,metaTASSER,11686.425099999991,,,Periplasm,EchoLOCATION predicted,,,
b0385,P0AAP1,adrA,Probable diguanylate cyclase AdrA,REP-E00353,E00353_clean-X_clean.pdb,metaTASSER,41537.02010000009,,,Inner_Membrane,EchoLOCATION experimental,,,
b0386,P0A9L8,proC,Pyrroline-5-carboxylate reductase,REP-1_268_4wji.1.A_59ca151bc730d4a860e9c84b,b0386_1_268_4wji_clean.pdb,SWISS-MODEL,28144.588799999987,2.6037618033984605e-07,439.0,Cytosol,iJL1678,x,,
b0387,P0A8D3,yaiI,UPF0178 protein YaiI,REP-14_147_4xsr.1.A_59f77a4178ed585e80b375a8,b0387_14_147_4xsr_clean.pdb,SWISS-MODEL,16969.26669999998,2.0165808955705615e-08,34.0,Cytosol,EchoLOCATION predicted,x,,
b0388,P0A6E1,aroL,Shikimate kinase 2,REP-1_164_1e6c.1.A_59cb9d24140550046b389154,b0388_1_164_1e6c_clean.pdb,SWISS-MODEL,19150.605999999996,5.391388335510707e-07,909.0,Cytosol,iJL1678,x,,
b0389,P0AAN5,yaiA,Uncharacterized protein YaiA,REP-2kvt,2kvt-A_clean.pdb,Protein Data Bank,7281.113400000004,3.6179833714648315e-08,61.0,Cytosol,EchoLOCATION predicted,x,,
b0390,P0AE28,aroM,Protein AroM,REP-E00358,E00358_clean-X_clean.pdb,metaTASSER,24916.615500000007,,,Cytosol,EchoLOCATION predicted,,,
b0391,P0C037,ppnP,Pyrimidine/purine nucleoside phosphorylase,REP-2_94_2oyz.1.A_59b676121405502b6006d820,b0391_2_94_2oyz_clean.pdb,SWISS-MODEL,10234.277199999995,5.913326920246619e-07,997.0,Cytosol,Arbitrary assignment,x,,
b0392,P75704,ykiA,Putative uncharacterized protein YkiA,,,,10618.030799999988,,,Cytosol,EchoLOCATION predicted,,,
b0393,P36767,rdgC,Recombination-associated protein RdgC,REP-2owl,2owl-A_clean.pdb,Protein Data Bank,33992.963400000044,2.8350754943609664e-07,478.0,Cytosol,Heinemann 2016,x,,
b0394,P23917,mak,Fructokinase,REP-1_301_4db3.1.A_59f2d76fafa358a8c0f21635,b0394_1_301_4db3_clean.pdb,SWISS-MODEL,32499.37440000002,5.27869705017e-08,89.0,Cytosol,iJL1678,x,,
b0396,P23910,araJ,Putative transporter AraJ,REP-E00362,E00362_clean-X_clean.pdb,metaTASSER,41925.8784,,,Inner_Membrane,EchoLOCATION predicted,,,
b0397,P13458,sbcC,Nuclease SbcCD subunit C,REP-SBCC_ECOLI,SBCC_ECOLI_model1_clean-X_clean.pdb,I-TASSER,118719.66150000054,3.736605777086629e-08,63.0,Cytosol,EchoLOCATION predicted,x,,
b0398,P0AG76,sbcD,Nuclease SbcCD subunit D,REP-E00364,E00364_clean-X_clean.pdb,metaTASSER,44712.96620000007,7.1173443373078655e-09,12.0,Cytosol,EchoLOCATION predicted,x,,
b0399,P0AFJ5,phoB,Phosphate regulon transcriptional regulatory protein PhoB,REP-E00365,E00365_clean-X_clean.pdb,metaTASSER,26433.075600000004,1.1862240562179775e-08,20.0,Cytosol,Heinemann 2016,x,,
b0400,P08400,phoR,Phosphate regulon sensor protein PhoR,REP-E00366,E00366_clean-X_clean.pdb,metaTASSER,49628.79640000007,,,Inner_Membrane,EchoLOCATION predicted,,,
b0401,P0AD99,brnQ,Branched-chain amino acid transport system 2 carrier protein,REP-E00367,E00367_clean-X_clean.pdb,metaTASSER,46208.158800000085,,,Inner_Membrane,iJL1678,,,
b0402,P0AAE2,proY,Proline-specific permease ProY,REP-E00368,E00368_clean-X_clean.pdb,metaTASSER,50215.13430000006,,,Inner_Membrane,EchoLOCATION predicted,,,
b0403,P21517,malZ,Maltodextrin glucosidase,REP-E00369,E00369_clean-X_clean.pdb,metaTASSER,69040.17260000018,,,Cytosol,iJL1678,,,
b0404,P21515,acpH,Acyl carrier protein phosphodiesterase,REP-E00370,E00370_clean-X_clean.pdb,metaTASSER,22960.831899999997,,,Cytosol,iJL1678,,,
b0405,P0A7F9,queA,S-adenosylmethionine:tRNA ribosyltransferase-isomerase,REP-4_343_1yy3.1.A_59f1e02ea52be704227f3de1,b0405_4_343_1yy3_clean.pdb,SWISS-MODEL,39430.36040000005,2.12334106063018e-07,358.0,Cytosol,iJL1678,x,,
b0406,P0A847,tgt,Queuine tRNA-ribosyltransferase,REP-1_366_1ozm.1.A_59f22fe53d4e1d29eaec4161,b0406_1_366_1ozm_clean.pdb,SWISS-MODEL,42593.19869999999,5.990431483900786e-07,1010.0,Cytosol,iJL1678,x,,
b0407,P0ADZ7,yajC,Sec translocon accessory complex subunit YajC,REP-E00373,E00373_clean-X_clean.pdb,metaTASSER,11887.008199999986,,6021.0,Inner_Membrane,Heinemann 2016,x,,
b0408,P0AG90,secD,Protein translocase subunit SecD,REP-5mg3,5mg3-D_clean.pdb,Protein Data Bank,66631.33450000023,,225.0,Inner_Membrane,iJL1678,x,,
b0409,P0AG93,secF,Protein translocase subunit SecF,REP-5mg3,5mg3-F_clean.pdb,Protein Data Bank,35381.96850000004,,259.0,Inner_Membrane,iJL1678,x,,
b0410,P0AAQ2,yajD,Putative HNH nuclease YajD,REP-E00376,E00376_clean-X_clean.pdb,metaTASSER,13363.849799999989,1.364157664650674e-07,230.0,Cytosol,EchoLOCATION predicted,x,,
b0411,P0A927,tsx,Nucleoside-specific channel-forming protein tsx,REP-1tly,1tly-A_clean.pdb,Protein Data Bank,33588.58699999999,,1348.0,Outer_Membrane,iJL1678,,,
b0412,P46122,yajI,Uncharacterized lipoprotein YajI,REP-21_179_2jwy.1.A_59cb9cf21405509d3e917ecb,b0412_21_179_2jwy_clean.pdb,SWISS-MODEL,19560.058899999985,,,Outer_Membrane,EchoLOCATION predicted,,,
b0413,P0A8D0,nrdR,Transcriptional repressor NrdR,REP-E00379,E00379_clean-X_clean.pdb,metaTASSER,17228.715999999993,8.244257190714943e-08,139.0,Cytosol,Arbitrary assignment,x,,
b0414,P25539,ribD,Riboflavin biosynthesis protein RibD,REP-2obc,2obc-A_clean.pdb,Protein Data Bank,40337.85500000001,2.8469377349231462e-08,48.0,Cytosol,iJL1678,x,,
b0415,P61714,ribE,"6,7-dimethyl-8-ribityllumazine synthase",REP-3nq4,3nq4-1_clean.pdb,Protein Data Bank,16156.30269999999,5.539073230509846e-06,9339.0,Cytosol,iJL1678,x,,
b0416,P0A780,nusB,N utilization substance protein B,REP-3d3b,3d3b-A_clean.pdb,Protein Data Bank,15688.856199999993,5.326146012418719e-07,898.0,Cytosol,iJL1678,x,,
b0417,P0AGG0,thiL,Thiamine-monophosphate kinase,REP-5_323_5dd7.1.A_59f26332a52be7904c97bd77,b0417_5_323_5dd7_clean.pdb,SWISS-MODEL,35070.44230000001,3.9145393855193256e-08,66.0,Cytosol,iJL1678,x,,
b0418,P18200,pgpA,Phosphatidylglycerophosphatase A,REP-E00384,E00384_clean-X_clean.pdb,metaTASSER,19417.899699999998,,,Inner_Membrane,iJL1678,,,
b0419,P77735,yajO,Uncharacterized oxidoreductase YajO,REP-1_312_4aub.1.B_59f2681aad01f05b6f8a83a6,b0419_1_312_4aub_clean.pdb,SWISS-MODEL,36419.726400000014,5.3973194557917976e-08,91.0,Cytosol,EchoLOCATION predicted,x,,
b0420,P77488,dxs,1-deoxy-D-xylulose-5-phosphate synthase,REP-2o1s,2o1s-A_clean.pdb,Protein Data Bank,67616.15660000016,1.1743618156557977e-07,198.0,Cytosol,iJL1678,x,,
b0421,P22939,ispA,Farnesyl diphosphate synthase,REP-1rqj,1rqj-A_clean.pdb,Protein Data Bank,32159.26200000001,2.5503817208686517e-08,43.0,Cytosol,iJL1678,x,,
b0422,P0A8G9,xseB,Exodeoxyribonuclease 7 small subunit,REP-6_75_1vp7.1.A_59ccfadea52be722589c2e74,b0422_6_75_1vp7_clean.pdb,SWISS-MODEL,8951.819399999995,4.952485434710056e-07,835.0,Cytosol,Heinemann 2016,x,,
b0423,P77718,thiI,tRNA sulfurtransferase,REP-E00389,E00389_clean-X_clean.pdb,metaTASSER,54972.423200000034,1.1387750939692585e-07,192.0,Cytosol,iJL1678,x,,
b0424,Q46948,yajL,Protein deglycase 3,REP-5sy4,5sy4-A_clean.pdb,Protein Data Bank,20776.844099999995,1.7615427234836968e-07,297.0,Cytosol,EchoLOCATION predicted,x,,
b0425,P0A9J4,panE,2-dehydropantoate 2-reductase,REP-1yon,1yon-A_clean.pdb,Protein Data Bank,33870.375600000014,,,Cytosol,iJL1678,,,
b0426,P0A8E7,yajQ,UPF0234 protein YajQ,REP-2_148_5n9g.1.B_59cbcbc17aaa0d36cc42a064,b0426_2_148_5n9g_clean.pdb,SWISS-MODEL,18343.636999999977,4.46316801152014e-06,7525.0,Cytosol,EchoLOCATION predicted,x,,
b0427,P77726,yajR,Inner membrane transport protein YajR,REP-3wdo,3wdo-A_clean.pdb,Protein Data Bank,48809.374500000056,,,Inner_Membrane,EchoLOCATION experimental,,,
b0428,P0AEA5,cyoE,Protoheme IX farnesyltransferase,REP-E00394,E00394_clean-X_clean.pdb,metaTASSER,32248.10950000005,,,Inner_Membrane,iJL1678,,,
b0429,P0ABJ6,cyoD,Cytochrome bo(3) ubiquinol oxidase subunit 4,REP-E00395,E00395_clean-X_clean.pdb,metaTASSER,12029.336699999996,,139.0,Inner_Membrane,iJL1678,x,,
b0430,P0ABJ3,cyoC,Cytochrome bo(3) ubiquinol oxidase subunit 3,REP-1fft,1fft-C_clean.pdb,Protein Data Bank,22622.370800000008,,0.0,Inner_Membrane,iJL1678,x,,
b0431,P0ABI8,cyoB,Cytochrome bo(3) ubiquinol oxidase subunit 1,REP-E00397,E00397_clean-X_clean.pdb,metaTASSER,74367.01550000033,,524.0,Inner_Membrane,iJL1678,x,,
b0432,P0ABJ1,cyoA,Cytochrome bo(3) ubiquinol oxidase subunit 2,REP-1fft,1fft-B_clean.pdb,Protein Data Bank,34910.89750000004,,749.0,Inner_Membrane,iJL1678,x,,
b0433,P0AE16,ampG,Protein AmpG,REP-E00399,E00399_clean-X_clean.pdb,metaTASSER,53244.53680000006,,,Inner_Membrane,iJL1678,,,
b0434,P0ADA5,yajG,Uncharacterized lipoprotein YajG,REP-E00400,E00400_clean-X_clean.pdb,metaTASSER,20949.788400000005,,2226.0,Outer_Membrane,Heinemann 2016,,,
b0435,P0ABE2,bolA,DNA-binding transcriptional regulator BolA,REP-2dhm,2dhm-A_clean.pdb,Protein Data Bank,11993.532499999987,2.3665169921548652e-07,399.0,Cytosol,EchoLOCATION predicted,x,,
b0436,P0A850,tig,Trigger factor,REP-1w26,1w26-A_clean.pdb,Protein Data Bank,48192.08030000006,1.491498817085674e-05,25147.0,Cytosol,iJL1678,x,,
b0437,P0A6G7,clpP,ATP-dependent Clp protease proteolytic subunit,REP-3mt6,3mt6-A_clean.pdb,Protein Data Bank,23186.409800000005,3.97088502818968e-06,6695.0,Cytosol,Heinemann 2016,x,,
b0438,P0A6H1,clpX,ATP-dependent Clp protease ATP-binding subunit ClpX,REP-E00404,E00404_clean-X_clean.pdb,metaTASSER,46355.45030000003,1.4851525183849078e-06,2504.0,Cytosol,EchoLOCATION predicted,x,,
b0439,P0A9M0,lon,Lon protease,REP-E00405,E00405_clean-X_clean.pdb,metaTASSER,87437.13850000052,6.292918618236371e-07,1061.0,Cytosol,Heinemann 2016,x,,
b0440,P0ACF4,hupB,DNA-binding protein HU-beta,REP-4p3v,4p3v-A_clean.pdb,Protein Data Bank,9225.462599999992,3.1057718239899085e-05,52364.0,Cytosol,EchoLOCATION predicted,x,,
b0441,P0ADY1,ppiD,Peptidyl-prolyl cis-trans isomerase D,REP-E00407,E00407_clean-X_clean.pdb,metaTASSER,68149.03610000024,,892.0,Inner_Membrane,Heinemann 2016,x,,
b0442,P0AAR8,ybaV,Uncharacterized protein YbaV,REP-57_122_2duy.1.A_59cc3f41a52be777386a6af1,b0442_57_122_2duy_clean.pdb,SWISS-MODEL,12703.506199999993,,,Periplasm,EchoLOCATION predicted,,,
b0443,P77712,fadM,Long-chain acyl-CoA thioesterase FadM,REP-1njk,1njk-A_clean.pdb,Protein Data Bank,15088.126299999985,,,Cytosol,Arbitrary assignment,,,
b0444,P77756,queC,7-cyano-7-deazaguanine synthase,REP-2pg3,2pg3-A_clean.pdb,Protein Data Bank,25513.893700000008,1.482780070272472e-07,250.0,Cytosol,iJL1678,x,,
b0445,P46890,ybaE,Uncharacterized protein YbaE,REP-E00411,E00411_clean-X_clean.pdb,metaTASSER,64990.74650000013,,,Cytosol,EchoLOCATION predicted,,,
b0446,P46891,cof,HMP-PP phosphatase,REP-2_262_3pgv.1.A_59ca0c3c7f4bf9bbcf12b70e,b0446_2_262_3pgv_clean.pdb,SWISS-MODEL,30370.595700000005,,,Cytosol,iJL1678,,,
b0447,P0ACJ5,decR,DNA-binding transcriptional activator DecR,REP-2_152_3i4p.1.A_59cc017a1405501a6139f5e7,b0447_2_152_3i4p_clean.pdb,SWISS-MODEL,17437.179399999997,,,Cytosol,Arbitrary assignment,,,
b0448,P77265,mdlA,Multidrug resistance-like ATP-binding protein MdlA,REP-3_572_5mkk.1.B_59cb03d6573f209c22823a17,b0448_3_572_5mkk_clean.pdb,SWISS-MODEL,66016.52500000014,,,Inner_Membrane,EchoLOCATION predicted,,,
b0449,P0AAG5,mdlB,Multidrug resistance-like ATP-binding protein MdlB,REP-9_577_5mkk.1.A_59cb0386573f209c228232b7,b0449_9_577_5mkk_clean.pdb,SWISS-MODEL,65221.71720000013,,,Inner_Membrane,EchoLOCATION predicted,,,
b0450,P0AC55,glnK,Nitrogen regulatory protein P-II 2,REP-2ns1,2ns1-B_clean.pdb,Protein Data Bank,12259.057799999988,6.35816094132836e-07,1072.0,Cytosol,EchoLOCATION experimental,x,,
b0451,P69681,amtB,Ammonia channel,REP-1xqf,1xqf-A_clean.pdb,Protein Data Bank,44514.172099999996,,,Inner_Membrane,iJL1678,,,
b0452,P0AGG2,tesB,Acyl-CoA thioesterase 2,REP-1c8u,1c8u-A_clean.pdb,Protein Data Bank,31965.918600000045,7.532522756984157e-08,127.0,Cytosol,iJL1678,x,,
b0453,P77717,ybaY,Uncharacterized lipoprotein YbaY,REP-E00419,E00419_clean-X_clean.pdb,metaTASSER,19430.95399999997,,1322.0,Outer_Membrane,Heinemann 2016,,,
b0454,P0AFP2,atl,DNA base-flipping protein,REP-E00420,E00420_clean-X_clean.pdb,metaTASSER,14449.372299999992,,,Cytosol,Arbitrary assignment,,,
b0456,P0AAQ6,ybaA,Uncharacterized protein YbaA,REP-2okq,2okq-A_clean.pdb,Protein Data Bank,13318.103999999996,,,Cytosol,EchoLOCATION predicted,,,
b0457,P77473,ylaB,Putative cyclic-di-GMP phosphodiesterase YlaB,REP-E00422,E00422_clean-X_clean.pdb,metaTASSER,58719.66580000012,,,Inner_Membrane,EchoLOCATION predicted,,,
b0458,P0AAS0,ylaC,Inner membrane protein YlaC,REP-E00423,E00423_clean-X_clean.pdb,metaTASSER,18266.955399999995,,94.0,Inner_Membrane,Heinemann 2016,x,,
b0459,P77791,maa,Maltose O-acetyltransferase,REP-1ocx,1ocx-A_clean.pdb,Protein Data Bank,20095.759199999986,2.7876265321122472e-08,47.0,Cytosol,iJL1678,x,,
b0460,P0ACE3,hha,Hemolysin expression-modulating protein Hha,REP-1jw2,1jw2-A_clean.pdb,Protein Data Bank,8627.903899999994,1.9809941738840223e-07,334.0,Cytosol,EchoLOCATION predicted,x,,
b0461,P0AAR0,tomB,Hha toxicity modulator TomB,REP-1_122_2mn2.1.A_59fc961178ed585d93458ccf,b0461_1_122_2mn2_clean.pdb,SWISS-MODEL,14557.228399999985,,,Cytosol,Arbitrary assignment,,,
b0462,P31224,acrB,Multidrug efflux pump subunit AcrB,REP-4dx5,4dx5-A_clean.pdb,Protein Data Bank,113572.3049000008,,275.0,Inner_Membrane,iJL1678,x,,
b0463,P0AE06,acrA,Multidrug efflux pump subunit AcrA,REP-5ng5,5ng5-A_clean.pdb,Protein Data Bank,42196.175000000054,,2242.0,Inner_Membrane,iJL1678,x,,
b0464,P0ACS9,acrR,HTH-type transcriptional regulator AcrR,REP-3bcg,3bcg-A_clean.pdb,Protein Data Bank,24766.375100000023,7.710456365416853e-09,13.0,Cytosol,EchoLOCATION predicted,x,,
b0465,P77338,mscK,Mechanosensitive channel MscK,REP-KEFA_ECOLI,KEFA_ECOLI_model1_clean-X_clean.pdb,I-TASSER,127213.72520000068,,5.0,Inner_Membrane,Heinemann 2016,x,,
b0466,P45807,ybaM,Uncharacterized protein YbaM,REP-15_49_4x86.1.A_58a2da66c730d4a83ca36dea,b0466_15_49_4x86_clean.pdb,SWISS-MODEL,6024.8042000000005,,,Cytosol,EchoLOCATION predicted,,,
b0467,P23862,priC,Primosomal replication protein N'',REP-1_175_2ncj.1.A_59cb93d9140550b3089b8826,b0467_1_175_2ncj_clean.pdb,SWISS-MODEL,20375.120900000013,,,Cytosol,EchoLOCATION predicted,,,
b0468,P0AAR5,ybaN,Inner membrane protein YbaN,REP-E00433,E00433_clean-X_clean.pdb,metaTASSER,14769.96989999999,,,Inner_Membrane,EchoLOCATION predicted,,,
b0469,P69503,apt,Adenine phosphoribosyltransferase,REP-2dy0,2dy0-A_clean.pdb,Protein Data Bank,19858.61569999999,1.466766045513529e-06,2473.0,Cytosol,iJL1678,x,,
b0470,P06710,dnaX,DNA polymerase III subunit tau,REP-E00435,E00435_clean-X_clean.pdb,metaTASSER,71136.8961000003,8.896680421634832e-09,15.0,Cytosol,EchoLOCATION predicted,x,,
b0471,P0A8B5,ybaB,Nucleoid-associated protein YbaB,REP-1pug,1pug-A_clean.pdb,Protein Data Bank,12014.714199999991,4.337428261561035e-06,7313.0,Cytosol,Heinemann 2016,x,,
b0472,P0A7H6,recR,Recombination protein RecR,REP-3_199_3vdp.1.A_59cb2a53afa3587c1309981e,b0472_3_199_3vdp_clean.pdb,SWISS-MODEL,21962.783900000006,3.795916979897528e-08,64.0,Cytosol,EchoLOCATION predicted,x,,
b0473,P0A6Z3,htpG,Chaperone protein HtpG,REP-2ioq,2ioq-A_clean.pdb,Protein Data Bank,71421.6357000003,1.5509879535050058e-06,2615.0,Cytosol,Heinemann 2016,x,,
b0474,P69441,adk,Adenylate kinase,REP-4x8l,4x8l-A_clean.pdb,Protein Data Bank,23585.735300000008,3.434118642751045e-06,5790.0,Cytosol,iJL1678,x,,
b0475,P23871,hemH,Ferrochelatase,REP-2_320_4kmm.1.A_59f277c82623251477d35b8c,b0475_2_320_4kmm_clean.pdb,SWISS-MODEL,35883.96540000001,1.6014024758942697e-08,27.0,Cytosol,iJL1678,x,,
b0476,P23872,aes,Acetyl esterase,REP-4krx,4krx-A_clean.pdb,Protein Data Bank,36033.67210000004,,,Cytosol,EchoLOCATION predicted,,,
b0477,P0AEW6,gsk,Inosine-guanosine kinase,REP-32_428_3ubo.1.A_59fc9832ad01f077bfad47fe,b0477_32_428_3ubo_clean.pdb,SWISS-MODEL,48448.21730000007,8.244257190714943e-08,139.0,Cytosol,iJL1678,x,,
b0478,P39830,ybaL,Putative cation/proton antiporter YbaL,REP-E00443,E00443_clean-X_clean.pdb,metaTASSER,59422.81930000005,,42.0,Inner_Membrane,Heinemann 2016,x,,
b0479,P52067,fsr,Fosmidomycin resistance protein,REP-E00444,E00444_clean-X_clean.pdb,metaTASSER,43304.98470000001,,,Inner_Membrane,EchoLOCATION predicted,,,
b0480,P07024,ushA,Protein UshA,REP-1ush,1ush-A_clean.pdb,Protein Data Bank,60823.23910000007,9.407407618969664e-07,209.0,Periplasm,iJL1678,,,
b0481,P0AAR3,ybaK,Cys-tRNA(Pro)/Cys-tRNA(Cys) deacylase YbaK,REP-2dxa,2dxa-A_clean.pdb,Protein Data Bank,17092.713699999993,4.1339908359196517e-07,697.0,Cytosol,Heinemann 2016,x,,
b0482,P77301,ybaP,Uncharacterized protein YbaP,REP-E00447,E00447_clean-X_clean.pdb,metaTASSER,29902.136599999998,,,Cytosol,EchoLOCATION predicted,,,
b0483,P0A9T6,ybaQ,Uncharacterized HTH-type transcriptional regulator YbaQ,REP-2eby,2eby-A_clean.pdb,Protein Data Bank,13170.942299999988,7.591833959795057e-08,128.0,Cytosol,EchoLOCATION predicted,x,,
b0484,Q59385,copA,Copper-exporting P-type ATPase A,REP-E00449,E00449_clean-X_clean.pdb,metaTASSER,87872.13040000056,,3009.0,Inner_Membrane,iJL1678,x,,
b0485,P77454,glsA1,Glutaminase 1,REP-1u60,1u60-A_clean.pdb,Protein Data Bank,32902.94120000001,,,Cytosol,iJL1678,,,
b0486,P77400,ybaT,Inner membrane transport protein YbaT,REP-E00451,E00451_clean-X_clean.pdb,metaTASSER,45658.09680000003,,,Inner_Membrane,EchoLOCATION predicted,,,
b0487,P0A9G4,cueR,HTH-type transcriptional regulator CueR,REP-1q06,1q06-A_clean.pdb,Protein Data Bank,15234.99989999999,2.2538257068141573e-08,38.0,Cytosol,Heinemann 2016,x,,
b0488,P0AAS3,ybbJ,Inner membrane protein YbbJ,REP-E00453,E00453_clean-X_clean.pdb,metaTASSER,16938.6185,,,Inner_Membrane,EchoLOCATION predicted,,,
b0489,P0AA53,qmcA,Protein QmcA,REP-E00454,E00454_clean-X_clean.pdb,metaTASSER,33742.71050000004,,,Cytosol,Arbitrary assignment,,,
