Gene Name	Function	Subcellular Location	Predicted Molecular weight (Da)	Number of TMH (HMMTOP / TMHMM)	Signal Peptide Cleavage Prob
uhpC	Membrane protein controlling UhpA activity; in con ... ...	Integral Membrane Protein	48388.08	12 / 12	None
uhpT	hexose phosphate transporter; member of major faci ... ...	Integral Membrane Protein	50606.82	12 / 12	None
uidA	Beta-D-glucuronidase	Cytoplasmic	68447.21	0 / 0	None
umuC	DNA polymerase V subunit; UV induction of mutation ... ...	Cytoplasmic	47679.91	0 / 0	None
umuD	DNA polymerase V subunit; inducible mutagenesis; e ... ...	Cytoplasmic	15063.45	0 / 0	None
ung	Uracil-DNA glycosylase	Cytoplasmic	25693.28	0 / 0	None
usg	Temporary name for gene in pdxB operon; unknown fu ... ...	Cytoplasmic	36364.23	0 / 0	None
ushA	 The cellular location of this protein was experimentally confirmed UDP-glucose hydrolase and 5-nucleotidase; bifuncti ... ...	Periplasmic	60824.15	1 / 0	99.5%
uvrA	Excision nuclease subunit A; repair of UV damage t ... ...	Cytoplasmic	103867.87	1 / 0	None
uvrB	Excision nuclease subunit B; ATPase I and helicase ... ...	Cytoplasmic	76226.29	1 / 0	None
uvrC	Excision nuclease subunit C; repair of UV damage t ... ...	Cytoplasmic	65716.41	1 / 0	None
uvrD	DNA-dependent ATPaseI-DNA helicase II; increased r ... ...	Cytoplasmic	81990.18	0 / 0	None
uxaB	D-Altronate oxidoreductase; NAD cofactor; exu regu ... ...	Cytoplasmic	54808.45	0 / 0	None
uxuA	D-Mannonate dehydratase (hydrolase); Fe(2)-requiri ... ...	Cytoplasmic	44838.17	0 / 0	None
valS	Valyl-tRNA synthetase; ValRS	Cytoplasmic	108192.73	0 / 0	None
vsr	Mismatch nicking endonuclease; helps repair TG mis ... ...	Cytoplasmic	18015.69	0 / 0	None
xerC	Recombinase; site specific	Cytoplasmic	33867.86	0 / 0	None
dsbC	 The cellular location of this protein was experimentally confirmed Periplasmic disulfide oxidoreductase; protein disu ... ...	Periplasmic	25621.79	0 / 0	99.9%
xerD	Recombinase; site specific	Cytoplasmic	34246.47	0 / 0	None
xseA	Exonuclease VII; large subunit	Cytoplasmic	51832.38	0 / 0	None
xthA	Exodeoxyribonuclease III and AP endodeoxyribonucle ... ...	Cytoplasmic	30969.28	0 / 0	None
xylA	D-Xylose isomerase	Cytoplasmic	49742.17	0 / 0	None
xylB	D-xylulose kinase	Cytoplasmic	52618.45	0 / 0	None
xylE	D-xylose transporter; member of major facilitator ... ...	Integral Membrane Protein	53608.28	12 / 12	52.5%
nhaR	Positive regulator of Na+-dependent transcription ... ...	Cytoplasmic	34284.57	0 / 0	None
ribF	Flavokinase and FAD synthetase; non-essential gene	Cytoplasmic	34734.38	0 / 0	None
fkpB	FKBP-type peptidyl-prolyl cis-trans isomerase	Cytoplasmic	16081.06	0 / 0	None
ispH	Last; branched; step of isopentenyl diphosphate (I ... ...	Cytoplasmic	34774.66	1 / 0	None
rihC	Ribonucleoside hydrolase	Cytoplasmic	32560.93	0 / 0	None
hepA	RNA polymerase binding protein; mutants are UV-S; ... ...	Cytoplasmic	109769.41	0 / 0	None
mraZ	Function unknown; expressed gene in dcw gene clust ... ...	Cytoplasmic	17386.1	0 / 0	None
mraW	SAM-dependent protein methyltransferase; membrane- ... ...	Cytoplasmic	34877.92	0 / 0	None
ftsL	 The cellular location of this protein was experimentally confirmed Cell division and growth; essential gene; cytoplas ... ...	Membrane anchored	13626.88	1 / 1	None
secM	 The cellular location of this protein was experimentally confirmed Translation and secretion of SecM regulates downst ... ...	Periplasmic	21738.74	1 / 1	99%
pdhR	Pyruvate-dehydrogenase repressor	Cytoplasmic	29425.55	0 / 0	None
yacC	Function unknown; 12 kDa protein expressed as part ... ...	Periplasmic	17532.34	1 / 0	56.3%
mtn	5-Methylthioadenosine/S-adenosylhomocysteine (SAH) ... ...	Cytoplasmic	24354.06	0 / 0	None
yafA	Function unknown	Cytoplasmic	47008.96	0 / 0	None
crl	Regulatory protein for curli (cryptic csgA)	Cytoplasmic	15655.04	0 / 0	None
yaiA	Function unknown	Cytoplasmic	7281.22	0 / 0	None
sbcD	Cosuppressor with sbcB of recB recC mutations	Cytoplasmic	44713.64	0 / 0	None
yajB	Function unknown	Cytoplasmic	22961.19	0 / 0	None
yajC	SecYEG protein translocase auxillary subunit; memb ... ...	Membrane anchored	11887.2	1 / 1	None
yajD	Function unknown	Cytoplasmic	13364.05	0 / 0	None
xseB	Exonuclease VII; small subunit	Cytoplasmic	8951.95	0 / 0	None
ybaA	Function unknown	Cytoplasmic	13318.31	0 / 0	None
ybaB	Function unknown; in recR operon; may be involved ... ...	Cytoplasmic	12014.9	0 / 0	None
aes	Esterase affecting maltose system expression	Cytoplasmic	36034.24	2 / 0	None
gsk	Guanosine kinase	Cytoplasmic	48448.95	0 / 0	None
fimZ	Putative fimbriae protein synthesis regulator	Cytoplasmic	23663.62	0 / 0	None
entS	predicted transporter; member of major facilitator ... ...	Integral Membrane Protein	43282.16	12 / 11	None
ybdB	Function unknown	Cytoplasmic	14970.18	0 / 0	None
ybdD	Function unknown	Cytoplasmic	7467.52	0 / 0	None
ybgA	Function unknown	Cytoplasmic	20211.24	0 / 0	None
farR	Fatty acyl responsive regulator	Cytoplasmic	28273.4	0 / 0	None
ybgC	First gene in tolQRA operon; Hemophilus homolog is ... ...	Cytoplasmic	15562.07	0 / 0	None
cspD	Cold shock protein homolog; not cold shock inducib ... ...	Cytoplasmic	7969.0	0 / 0	None
aat	Leucyl; phenylalanyl-tRNA-protein transferase; L/F ... ...	Cytoplasmic	26618.62	0 / 0	None
yccA	membrane protein; degraded by FtsH protease	Integral Membrane Protein	23362.93	7 / 7	93.7%
yccB	Function unknown	Integral Membrane Protein	3597.51	1 / 1	73.9%
yceA	Function unknown	Cytoplasmic	39781.5	1 / 0	None
yceB	 The cellular location of this protein was experimentally confirmed Function unknown	Outer membrane Lipoprotein	20499.82	1 / 0	51.9%
rluC	23S rRNA pseudouridine synthase specific for the p ... ...	Cytoplasmic	36026.66	0 / 0	None
yceD	Function unknown	Cytoplasmic	19314.99	0 / 0	None
tfaE	Phage lambda tail fiber gene homolog in prophage e ... ...	Cytoplasmic	21662.03	0 / 0	None
yciA	Function unknown	Cytoplasmic	14230.61	0 / 0	None
yciB	Involved in intracellular septation in Shigella	Integral Membrane Protein	20790.25	5 / 5	None
yciC	Function unknown	Integral Membrane Protein	26418.96	6 / 6	70%
ompW	 The cellular location of this protein was experimentally confirmed Outer membrane protein; colicin S4 receprtor	Outer Membrane ß-barrel protein	22927.9	0 / 0	99.9%
yciE	Function unknown	Cytoplasmic	18961.52	0 / 0	None
yciF	Function unknown; H-NS repressed	Cytoplasmic	18597.21	0 / 0	None
yciG	Function unknown	Cytoplasmic	8239.78	0 / 0	None
yciH	Function unknown	Cytoplasmic	11527.47	0 / 0	None
rem	Putative gene downstream of relF gene	Cytoplasmic	9234.76	0 / 0	None
hokD	Small toxic membrane polypeptide; homologous to pl ... ...	Periplasmic	5736.92	1 / 1	83.8%
relE	Reversible inhibitor of translation; cleaves mRNA ... ...	Cytoplasmic	11225.25	0 / 0	None
ydiA	Function unknown	Cytoplasmic	31210.99	0 / 0	None
nlpC	 The cellular location of this protein was experimentally confirmed Lipoprotein	Outer membrane Lipoprotein	17282.81	0 / 0	None
ydjA	Function unknown; low abundance protein	Cytoplasmic	20059.09	1 / 0	None
pncA	Nicotinamide deamidase	Cytoplasmic	24064.03	0 / 0	None
yebB	Function unknown	Cytoplasmic	26788.98	1 / 0	None
yebC	Function unknown; expressed protein; non-essential ... ...	Cytoplasmic	26422.67	0 / 0	None
nudB	dATP-preferring nucleoside tri-P pyrophosphohydrol ... ...	Cytoplasmic	17305.81	0 / 0	None
yecA	Function unknown	Cytoplasmic	25039.37	0 / 0	None
uvrY	Response regulator required for hydrogen peroxide ... ...	Cytoplasmic	23892.77	0 / 0	None
yedA	Function unknown	Integral Membrane Protein	32194.06	10 / 10	None
yfaA	Function unknown	Periplasmic	64472.61	1 / 1	96.2%
ubiG	Reactions: 2-octaprenyl-6-hydroxylphenol to 2-octa ... ...	Cytoplasmic	26555.55	0 / 0	None
yfcA	 The cellular location of this protein was experimentally confirmed Function unknown	Integral Membrane Protein	28643.52	9 / 7	74%
yfeA	Function unknown	Integral Membrane Protein	87790.71	8 / 8	None
xapR	Regulatory gene for xapA	Cytoplasmic	33627.48	0 / 0	None
yffB	Function unknown; low abundance protein; distantly ... ...	Cytoplasmic	13600.64	0 / 0	None
gcvR	Required for repression of gcv operon by GcvA; Gcv ... ...	Cytoplasmic	23261.7	0 / 0	None
hyfA	Putative hydrogenase 4 component A; ferrodoxin-lik ... ...	Cytoplasmic	23636.17	0 / 0	None
yfiA	Protein Y; associated with 30S ribosomal subunit; ... ...	Cytoplasmic	12784.62	0 / 0	None
yfiB	 The cellular location of this protein was experimentally confirmed Function unknown	Outer membrane Lipoprotein	17244.62	0 / 0	53.5%
rimM	21-kDa protein essential for 16S RNA processing	Cytoplasmic	20967.04	0 / 0	None
ppdC	Function unknown	Membrane anchored	12003.99	1 / 1	None
ygdB	Function unknown	Periplasmic	13474.6	1 / 1	89.3%
ppdB	Function unknown; regulated by FlhDC and FliA; mut ... ...	Membrane anchored	20519.58	1 / 1	None
ygeA	Function unknown	Cytoplasmic	25248.07	0 / 0	None
ygfA	Function unknown	Cytoplasmic	21105.5	3 / 0	None
yggA	 The cellular location of this protein was experimentally confirmed predicted amino acid transporter; member of L-lysi ... ...	Integral Membrane Protein	23175.82	6 / 6	70.7%
mscS	 The cellular location of this protein was experimentally confirmed mechanosensitive channel; member of small conducta ... ...	Integral Membrane Protein	30896.12	4 / 3	None
yggC	Function unknown	Cytoplasmic	27132.01	0 / 0	None
yggD	Function unknown	Cytoplasmic	19272.02	0 / 0	None
ygiB	Function unknown	Cytoplasmic	24868.17	0 / 0	None
ygiC	Function unknown	Cytoplasmic	45026.16	0 / 0	None
ygiD	Function unknown	Cytoplasmic	29903.43	0 / 0	None
zupT	Zinc transporter; member of zinc-iron permease fam ... ...	Integral Membrane Protein	26484.92	8 / 6	77.1%
ttdA	L-Tartrate dehydratase subunit	Cytoplasmic	32733.69	1 / 0	None
ttdB	L-Tartrate dehydratase subunit	Cytoplasmic	22679.56	0 / 0	None
ygjD	Function unknown; Gcp glycoprotease homolog; essen ... ...	Cytoplasmic	36008.54	1 / 0	None
tdcD	Propionate kinase; anaerobic; non-essential gene	Cytoplasmic	43928.95	0 / 0	None
yhaB	Function unknown	Cytoplasmic	21382.62	0 / 0	None
yhaC	Function unknown	Cytoplasmic	45251.07	0 / 0	None
garK	Glycerate kinase; glycerate- or glucarate-inducibl ... ...	Cytoplasmic	42096.96	1 / 0	None
garR	Tartronate semialdehyde reductase; glycerate- or g ... ...	Cytoplasmic	31019.33	0 / 0	None
truB	tRNA pseudouridine synthase; specific for position ... ...	Cytoplasmic	35087.2	0 / 0	None
rbfA	Ribosome binding factor required for efficient pro ... ...	Cytoplasmic	15154.55	0 / 0	None
yhbC	Function unknown	Cytoplasmic	16821.24	0 / 0	None
mscL	 The cellular location of this protein was experimentally confirmed mechanosensitive channel; member of large conducta ... ...	Integral Membrane Protein	14956.82	2 / 2	None
bfd	Regulatory or redox component complexing with Bfr ... ...	Cytoplasmic	7362.68	0 / 0	None
yhfA	Function unknown	Cytoplasmic	14516.79	0 / 0	None
damX	Interferes with cell division; upstream of dam gen ... ...	Membrane anchored	46161.97	1 / 1	None
yhhA	Function unknown	Periplasmic	16623.9	1 / 0	95.8%
yiaA	Function unknown	Integral Membrane Protein	16254.0	4 / 4	None
yibA	Function unknown	Cytoplasmic	31873.74	0 / 0	None
htrL	RfaH-regulated high-temperature gene	Cytoplasmic	34013.9	2 / 0	None
rfaC	LPS heptosyltransferase I; LPS core biosynthesis; ... ...	Cytoplasmic	35543.87	0 / 0	None
coaD	Pantetheinephosphate adenylyltransferase	Cytoplasmic	17836.71	0 / 0	None
ttk	Function unknown; TetR; AcrR family of regulators	Cytoplasmic	24318.26	0 / 0	None
yicC	Function unknown	Cytoplasmic	33175.03	0 / 0	None
dinD	Mutant cs phenotype filamentous with large nucleoi ... ...	Cytoplasmic	31595.84	0 / 0	None
yicE	predicted transporter; member of nucleobase:cation ... ...	Integral Membrane Protein	48868.28	12 / 11	None
yidA	Function unknown	Cytoplasmic	29721.24	0 / 0	None
yidB	Function unknown	Cytoplasmic	14144.13	0 / 0	None
yidC	Sec translocon-associated protein; mediates the in ... ...	Integral Membrane Protein	61526.15	3 / 4	70.7%
glmU	Bifunctional glucosamine-1-phosphate acetyltransfe ... ...	Cytoplasmic	49190.23	0 / 0	None
mioC	FMN-binding protein required for biotin synthase a ... ...	Cytoplasmic	15807.69	0 / 0	None
yigA	Function unknown	Cytoplasmic	26728.88	0 / 0	None
yigB	Function unknown	Cytoplasmic	27121.93	0 / 0	None
yihA	Putative GTPase gene required for normal cell divi ... ...	Cytoplasmic	22214.5	0 / 0	None
murI	Glutamate racemase; D-glutamate synthesis; essenti ... ...	Cytoplasmic	31504.65	3 / 0	None
murB	UDP-N-acetylglucosaminyl-3-enolpyruvate reductase	Cytoplasmic	37851.14	0 / 0	None
yjaA	Function unknown	Cytoplasmic	14446.87	0 / 0	None
yjaB	Putative acetyltransferase; transcribed divergentl ... ...	Cytoplasmic	16446.75	0 / 0	None
arpA	Regulator of acetyl-coenzyme A synthetase gene exp ... ...	Cytoplasmic	82598.56	0 / 0	None
psiE	Pho regulon; regulated by phoB and cAMP	Integral Membrane Protein	15596.83	4 / 4	None
yjdA	Function unknown	Cytoplasmic	84371.33	0 / 0	None
poxA	Regulator of poxB; mutants are hypersensitive to s ... ...	Cytoplasmic	38020.46	0 / 0	None
nsrR	Nitrosative stress (NO) responsive transcriptinal ... ...	Cytoplasmic	15593.14	0 / 0	None
yjjA	Function unknown; P18 expressed by readthrough fro ... ...	Periplasmic	17483.92	1 / 0	100%
yjjB	Function unknown; expressed P14 protein upstream o ... ...	Integral Membrane Protein	11867.32	3 / 3	None
creA	Function unknown; transcribed with cre operon	Periplasmic	17107.95	0 / 0	100%
creB	Structurally homologous to creC (phoM)	Cytoplasmic	26125.35	0 / 0	None
ydcA	Function unknown	Periplasmic	5859.91	0 / 0	99.9%
zwf	Glucose 6-phosphate dehydrogenase	Cytoplasmic	55704.62	0 / 0	None
alkA	3-methyl-adenine DNA glycosylase II; inducible; re ... ...	Cytoplasmic	31393.42	0 / 0	None
argH	Argininosuccinate lyase	Cytoplasmic	50318.4	0 / 0	None
fliO	Flagellar synthesis; flagellar regulon	Membrane anchored	10683.67	1 / 1	None
dcuA	 The cellular location of this protein was experimentally confirmed C4-dicarboxylate antiporter; member of C4-dicarbox ... ...	Integral Membrane Protein	45750.91	11 / 11	None
leuA	Alpha-Isopropylmalate synthase	Cytoplasmic	57298.09	0 / 0	None
fdnG	 The cellular location of this protein was experimentally confirmed Formate dehydrogenase-N major subunit	Membrane associated	112796.27	2 / 0	89.5%
fdnH	 The cellular location of this protein was experimentally confirmed Formate dehydrogenase-N Fe-S subunit	Membrane anchored	32238.89	0 / 1	None
fdnI	 The cellular location of this protein was experimentally confirmed Formate dehydrogenase-N cytochrome subunit	Integral Membrane Protein	25368.62	4 / 4	35.7%
melR	Regulatory (activator) gene for melAB operon; auto ... ...	Cytoplasmic	34928.04	0 / 0	None
rpmI	50S ribosomal subunit protein A (L35)	Cytoplasmic	7288.96	0 / 0	None
rpmJ	50S ribosomal subunit protein X (L36)	Cytoplasmic	4364.36	0 / 0	None
rstB	Putative sensor kinase	Integral Membrane Protein	49283.08	3 / 2	71.6%
ydiB	Quinate/shikimate dehydrogenase; NAD(P)-dependent	Cytoplasmic	31227.94	0 / 0	None
rhlE	DEAD-box protein family; ATP-dependent RNA helicas ... ...	Cytoplasmic	49989.44	0 / 0	None
yahA	Function unknown	Cytoplasmic	40725.05	0 / 0	None
chiA	 The cellular location of this protein was experimentally confirmed Periplasmic endochitinase/lysozyme; Hns-repressibl ... ...	Periplasmic	97057.93	1 / 0	97.6%
ybhB	Function unknown; cyoplasmic protein; homologous t ... ...	Cytoplasmic	17085.18	0 / 0	None
ybhA	Function unknown; non-essential gene	Cytoplasmic	30201.41	0 / 0	None
hokB	Small toxic membrane polypeptide; homologous to pl ... ...	Membrane anchored	5625.85	1 / 1	78.3%
ycaC	Function unknown; hydrolase; homologous to pyrazin ... ...	Cytoplasmic	23100.38	0 / 0	None
ycaD	predicted transporter; member of major facilitator ... ...	Integral Membrane Protein	41431.78	12 / 12	75.8%
yggE	Function unknown	Periplasmic	26635.34	0 / 0	98.9%
yggF	Function unknown; glpX paralog; probable fructose ... ...	Cytoplasmic	34323.6	0 / 0	None
uspE	 The cellular location of this protein was experimentally confirmed Stress-induced protein; UV-resistance; tandem Usp ... ...	Cytoplasmic	35706.99	0 / 0	None
rumA	23S rRNA (uracil-5)-methyltransferase; responsible ... ...	Cytoplasmic	48052.41	0 / 0	None
chpA	ChpA(MazF) toxin; antitoxin is ChpR(MazE); reversi ... ...	Cytoplasmic	12098.1	0 / 0	None
chpS	Supresses ChpB	Cytoplasmic	9530.96	0 / 0	None
ychA	Function unknown	Cytoplasmic	30841.49	1 / 0	None
mukE	Involved in chromosome partioning; null mutants di ... ...	Cytoplasmic	25984.49	0 / 0	None
ycbB	Function unknown	Periplasmic	67812.72	0 / 0	99.5%
ybeA	Function unknown	Cytoplasmic	17341.16	0 / 0	None
ybeB	Function unknown	Cytoplasmic	7677.8	0 / 0	None
yaiB	Function unknown	Cytoplasmic	9937.52	0 / 0	None
adrA	 The cellular location of this protein was experimentally confirmed Probable cellulose production regulator; Salmonell ... ...	Integral Membrane Protein	41537.67	5 / 5	None
focA	formate transporter; member of formate-nitrite tra ... ...	Integral Membrane Protein	30990.9	6 / 6	None
rnr	Exoribonuclease R; orthologous with Shigella virul ... ...	Cytoplasmic	93688.26	0 / 0	None
yifB	Function unknown	Periplasmic	56214.83	0 / 0	55.5%
nfsA	 The cellular location of this protein was experimentally confirmed Nitrofuran reductase I activity B; overexpression ... ...	Cytoplasmic	26800.78	0 / 0	None
tsgA	predicted transporter; member of major facilitator ... ...	Integral Membrane Protein	43166.63	12 / 12	98.3%
pioO	Part of gsp divergon invlved in type II protein se ... ...	Membrane anchored	15876.04	1 / 1	None
cmk	CMP kinase; multicopy suppressor of UMP kinase mut ... ...	Cytoplasmic	24746.41	0 / 0	None
yibD	Function unknown	Cytoplasmic	40524.52	0 / 0	None
yiaB	Inner membrane protein; function unknown	Integral Membrane Protein	13027.85	4 / 4	55.3%
fmt	Methionyl-tRNA formyltransferase	Cytoplasmic	34168.59	1 / 0	None
hisL	his operon leader peptide	Cytoplasmic	2081.32	0 / 0	None
ilvL	ilvG operon leader peptide	Cytoplasmic	3231.11	1 / 1	82.2%
pheL	pheA gene regulatory leader peptide	Cytoplasmic	1924.35	0 / 0	None
pheM	pheST operon regulatory leader peptide	Cytoplasmic	1762.07	0 / 0	None
trpL	Regulatory leader peptide for trp operon	Cytoplasmic	1723.12	0 / 0	None
ivbL	ilvB operon leader peptide	Cytoplasmic	3205.92	0 / 0	None
tnaC	Regulatory leader peptide for tna operon	Cytoplasmic	2894.42	0 / 0	None
thrL	Regulatory leader peptide for thrABC operon	Cytoplasmic	2138.47	0 / 0	None
pyrL	pyrBI operon regulatory leader peptide	Cytoplasmic	5098.16	0 / 0	None
leuL	leu operon leader peptide	Cytoplasmic	3145.78	0 / 0	None
mutL	Methyl-directed mismatch repair	Cytoplasmic	67923.92	0 / 0	None
hyfB	 The cellular location of this protein was experimentally confirmed Putative hydrogenase 4 component B; membrane prote ... ...	Integral Membrane Protein	72583.38	16 / 16	None
phnE		Integral Membrane Protein	22796.99	3 / 3	None
fabZ	 The cellular location of this protein was experimentally confirmed 3R-hydroxymyristoyl acyl carrier protein (ACP) deh ... ...	Cytoplasmic	17033.02	1 / 0	None
yfhA	Function unknown	Cytoplasmic	49148.55	0 / 0	None
argE	Acetylornithine deacetylase	Cytoplasmic	42347.49	0 / 0	None
ygbA	Function unknown	Cytoplasmic	13940.53	0 / 0	None
mak	Cryptic manno(fructo)kinase	Cytoplasmic	37553.84	0 / 0	None
yeiA	Function unknown	Cytoplasmic	45313.45	0 / 0	None
yeiB	Function unknown; probable integral membrane prote ... ...	Integral Membrane Protein	43393.8	9 / 10	None
yggG	Function unknown	Outer membrane Lipoprotein	31827.47	1 / 0	54.9%
yghA	Function unknown	Cytoplasmic	31488.05	1 / 0	None
lolB	 The cellular location of this protein was experimentally confirmed outer membrane lipoprotein required for sorting an ... ...	Outer membrane Lipoprotein	23550.85	1 / 0	44.8%
ispE	4-diphosphocytidyl-2-C-methylerythritol kinase; is ... ...	Cytoplasmic	30925.47	0 / 0	None
wzzE	 The cellular location of this protein was experimentally confirmed Entobacterial Common Antigen (ECA) biosynthesis; E ... ...	Integral Membrane Protein	39620.46	2 / 2	None
radA	Sensitivity to gamma and UV radiation	Cytoplasmic	49472.32	1 / 0	None
dsbA	 The cellular location of this protein was experimentally confirmed Disulfide oxidoreductase; periplasmic protein disu ... ...	Periplasmic	23104.62	1 / 0	94.8%
yhdE	Function unknown; homologous to B. subtilis maf; y ... ...	Cytoplasmic	21515.5	0 / 0	None
rng	Endoribonuclease G involved in 16S rRNA processing ... ...	Cytoplasmic	56064.23	0 / 0	None
ydfA	Function unknown	Cytoplasmic	5792.38	0 / 0	None
ydfB	Function unknown	Cytoplasmic	6216.84	0 / 0	None
rzpQ	Defective homolog to lambda Rz gene in prophage Qi ... ...	Cytoplasmic	8350.52	0 / 0	None
ydfD	Function unknown	Cytoplasmic	6841.99	0 / 0	None
ydfE	Function unknown	Cytoplasmic	35071.2	0 / 0	None
tatE	TatABCE protein translocation system subunit; memb ... ...	Membrane anchored	7024.32	1 / 1	None
lipA	Lipoate synthase; lipoic acid biosynthesis; iron-s ... ...	Cytoplasmic	36071.9	0 / 0	None
ydbA	Function unknown; interrupted by IS2D and IS30C	Cytoplasmic	592.65	0 / 0	None
ydbC	Function unknown	Cytoplasmic	30706.08	0 / 0	None
ydbD	Function unknown	Periplasmic	86985.04	0 / 0	90.3%
dusB	tRNA-dihydrouridine synthase B	Cytoplasmic	35866.26	0 / 0	None
yicR	Function unknown; mistakenly thought to be allelic ... ...	Cytoplasmic	25570.86	0 / 0	None
rhaT	 The cellular location of this protein was experimentally confirmed L-rhamnose:proton symporter; member of drug/metabo ... ...	Integral Membrane Protein	37320.0	10 / 10	None
purB	Adenylosuccinate lyase	Cytoplasmic	51542.94	1 / 0	None
yhdH	NADP-dependent dehydrogenase/reductase of unknown ... ...	Cytoplasmic	34723.88	3 / 0	None
malS	 The cellular location of this protein was experimentally confirmed Alpha-Amylase; periplasmic; MalT dependent	Periplasmic	75712.89	1 / 0	72.3%
fabD	Malonyl-CoA-acyl carrier protein transacylase	Cytoplasmic	32417.33	1 / 0	None
fabG	3-Ketoacyl-ACP reductase	Cytoplasmic	25560.4	0 / 0	None
galU	Glucose-1-P uridylyltransferase (UDP-glucose pyrop ... ...	Cytoplasmic	32942.4	0 / 0	None
ybaD	Function unknown	Cytoplasmic	17228.98	0 / 0	None
ribD	Bifunctional enzyme for second and third steps in ... ...	Cytoplasmic	40338.47	0 / 0	None
ribE	Riboflavin synthase beta chain; 6;7-dimethyl-8-rib ... ...	Cytoplasmic	16156.54	1 / 0	None
ygfB	Function unknown	Cytoplasmic	21474.05	0 / 0	None
ubiH	Reaction: 2-octaprenyl-6-methoxyphenol to 2-octapr ... ...	Cytoplasmic	42288.43	0 / 0	97.4%
acnA	 The cellular location of this protein was experimentally confirmed Aconitase A; stationary phase induced; iron-sulfur ... ...	Cytoplasmic	97677.54	0 / 0	None
codA	Cytosine deaminase	Cytoplasmic	47591.13	0 / 0	None
codB	cytosine transport protein member of NCS1 family	Integral Membrane Protein	43649.78	12 / 12	None
fdx	Ferredoxin; cotranscribed with hscBA; presumably c ... ...	Cytoplasmic	12330.88	0 / 0	None
gabD	Succinate-semialdehyde dehydrogenase; NADP depende ... ...	Cytoplasmic	51720.23	0 / 0	None
gabP	gamma-aminobutyrate transporter; member of amino-a ... ...	Integral Membrane Protein	51080.32	12 / 12	52.9%
ribA	GTP cyclohydrolase II; riboflavin biosynthesis	Cytoplasmic	21836.06	0 / 0	None
upp	Uracil phosphoribosyltransferase	Cytoplasmic	23559.57	0 / 0	None
visC	Gene of unknown function downstream of ubiH(visB)	Membrane Lipoprotein	44244.77	0 / 0	None
ligB	NAD(+)-dependent DNA ligase B	Cytoplasmic	63441.96	1 / 0	69%
nadR	Repressor of the nad operon; N-terminal domain; ni ... ...	Cytoplasmic	48198.91	0 / 0	None
endA	 The cellular location of this protein was experimentally confirmed Periplasmic DNA-specific endonuclease I; extensive ... ...	Periplasmic	26709.2	1 / 0	100%
lysP	lysine transporter; member of amino-acid-polyamine ... ...	Integral Membrane Protein	53576.12	12 / 12	None
msyB	In multicopy restores growth and protein export fu ... ...	Cytoplasmic	14390.44	0 / 0	None
rfaG	LPS core biosynthesis; glucosyltransferase I	Cytoplasmic	42284.26	0 / 0	None
rfaP	Lipopolysaccharide kinase; LPS core biosynthesis; ... ...	Cytoplasmic	30872.45	0 / 0	None
rfaQ	Heptose region of LPS core	Cytoplasmic	38730.82	0 / 0	None
ychE	Function unknown; putative membrane protein; marC ... ...	Integral Membrane Protein	23521.32	6 / 6	None
yceE	 The cellular location of this protein was experimentally confirmed predicted drug efflux system; member of major faci ... ...	Integral Membrane Protein	43867.47	12 / 10	None
trmU	tRNA (5-methylaminomethyl-2-thiouridylate)-methylt ... ...	Cytoplasmic	42638.53	1 / 0	None
hflD	Downregulates lambda lysogenization; interacts wit ... ...	Cytoplasmic	22947.64	0 / 0	None
fliE	Flagellar synthesis; basal body component	Cytoplasmic	11126.82	0 / 0	None
fliF	Flagellar basal body M-ring protein	Integral Membrane Protein	60589.26	3 / 2	97.2%
yidD	Function unknown	Cytoplasmic	9381.1	0 / 0	None
rfaS	LPS core; not affecting attachment of O antigen	Cytoplasmic	36730.6	0 / 0	None
rfaB	UDP-D-galactose: (glucosyl)lipopolysaccharide-alph ... ...	Cytoplasmic	42007.53	0 / 0	None
rfaI	UDP-D-galactose: (glucosyl)lipopolysaccharide-1;3- ... ...	Cytoplasmic	39423.33	0 / 0	None
rfaJ	UDP-D-glucose: (galactosyl)lipopolysaccharide gluc ... ...	Cytoplasmic	39040.47	0 / 1	None
emrA	multidrug efflux system; member of membrane fusion ... ...	Membrane anchored	42736.17	1 / 1	64.5%
fliA	Transcription factor sigma 28 for class III flagel ... ...	Cytoplasmic	27521.18	0 / 0	None
fliZ	Not required for motility; may regulate FliA (sigm ... ...	Cytoplasmic	23227.68	0 / 0	None
dinG	LexA regulated (SOS) repair enzyme	Cytoplasmic	81440.55	0 / 0	None
murA	UDP-N-acetylglucosamine enoylpyruvyl transferase; ... ...	Cytoplasmic	44817.81	0 / 0	None
gspO	 The cellular location of this protein was experimentally confirmed Type IV prepilin peptidase in cryptic gsp operon	Integral Membrane Protein	24956.93	8 / 7	None
bax	Gene transcribed divergently from malS; function u ... ...	Periplasmic	30867.74	1 / 0	98.9%
asmA	Membrane protein; suppressor of ompF assembly muta ... ...	Membrane anchored	68963.07	1 / 1	44%
yadB	Function unknown	Cytoplasmic	34867.67	0 / 0	None
amiB	 The cellular location of this protein was experimentally confirmed Cell wall amidase; overexpression causes lysis; os ... ...	Periplasmic	47985.35	1 / 0	98.4%
bglH	 The cellular location of this protein was experimentally confirmed carbohydrate-specific outer membrane porin; member ... ...	Outer Membrane ß-barrel protein	60657.33	1 / 0	98.7%
rob	OriC-binding protein; binds to right border of ori ... ...	Cytoplasmic	33145.01	0 / 0	None
