Gene,UniProt,NAME,Description,Structure_ID,PDB,Structure_source,MW,MOLARITY,Copy_number,Localization,Localization_source,INCLUDE,COLOR,NOTES,model_id
b0955,P75867,ycbZ,Putative Lon protease homolog,REP-12_564_3k1j.1.A_59cb06b2573f202ecb316b1c,b0955_12_564_3k1j_clean.pdb,SWISS-MODEL,65817.8673,1.90E-08,32,Cytosol,EchoLOCATION predicted,x,,,iML1515_v1
b0956,P0A8N0,matP,Macrodomain Ter protein,REP-4d8j,4d8j-A_clean.pdb,Protein Data Bank,17693.1504,2.19E-08,37,Cytosol,Heinemann 2016,x,,,iML1515_v1
b0957,P0A910,ompA,Outer membrane protein A,REP-E00891,E00891_clean-X_clean.pdb,metaTASSER,37200.3005,,108747,Outer_Membrane,iJL1678,,,,iML1515_v1
b0958,P0AFZ5,sulA,Cell division inhibitor SulA,REP-E00892,E00892_clean-X_clean.pdb,metaTASSER,18801.1678,,,Cytosol,EchoLOCATION predicted,,,,iML1515_v1
b0959,P75869,sxy,Protein Sxy,REP-E00893,E00893_clean-X_clean.pdb,metaTASSER,24146.7316,,,Cytosol,Arbitrary assignment,,,,iML1515_v1
b0960,P75870,yccS,Inner membrane protein YccS,REP-E00894,E00894_clean-X_clean.pdb,metaTASSER,81666.5826,0,,Inner_Membrane,EchoLOCATION predicted,,,,iML1515_v1
b0961,P0AB12,yccF,Inner membrane protein YccF,REP-E00895,E00895_clean-X_clean.pdb,metaTASSER,16275.1594,0.000059142,37,Inner_Membrane,Heinemann 2016,x,,,iML1515_v1
b0962,P15038,helD,DNA helicase IV,REP-E00896,E00896_clean-X_clean.pdb,metaTASSER,77975.2451,8.30E-09,14,Cytosol,EchoLOCATION predicted,x,,,iML1515_v1
b0963,P0A731,mgsA,Methylglyoxal synthase,REP-1b93,1b93-A_clean.pdb,Protein Data Bank,16918.3812,4.89E-07,825,Cytosol,iJL1678,x,,,iML1515_v1
b0964,P0A8X4,yccT,UPF0319 protein YccT,REP-E00898,E00898_clean-X_clean.pdb,metaTASSER,24593.8278,,,Periplasm,EchoLOCATION predicted,,,,iML1515_v1
b0965,P75874,yccU,Uncharacterized protein YccU,REP-2duw,2duw-A_clean.pdb,Protein Data Bank,14700.9538,5.95E-07,1004,Cytosol,EchoLOCATION predicted,x,,,iML1515_v1
b0966,P0AB20,hspQ,Heat shock protein HspQ,REP-1vbv,1vbv-A_clean.pdb,Protein Data Bank,11779.0624,,,Cytosol,Arbitrary assignment,,,,iML1515_v1
b0967,P75876,rlmI,Ribosomal RNA large subunit methyltransferase I,REP-3c0k,3c0k-A_clean.pdb,Protein Data Bank,44356.4028,1.78E-07,300,Cytosol,iJL1678,x,,,iML1515_v1
b0968,P0AB65,yccX,Acylphosphatase,REP-2gv1,2gv1-A_clean.pdb,Protein Data Bank,10299.6374,,,Cytosol,iJL1678,,,,iML1515_v1
b0969,P0AB18,tusE,Sulfurtransferase TusE,REP-5_109_1yx3.1.A_59cc7c38afa35861cefd23f5,b0969_5_109_1yx3_clean.pdb,SWISS-MODEL,12410.202,,,Cytosol,iJL1678,,,,iML1515_v1
b0970,P0AAC6,yccA,Modulator of FtsH protease YccA,REP-E00904,E00904_clean-X_clean.pdb,metaTASSER,23362.5425,8.47168E-05,53,Inner_Membrane,EchoLOCATION predicted,x,,,iML1515_v1
b0972,P69739,hyaA,Hydrogenase-1 small chain,REP-E00905,E00905_clean-X_clean.pdb,metaTASSER,40680.94,0,,Inner_Membrane,iJL1678,,,,iML1515_v1
b0973,P0ACD8,hyaB,Hydrogenase-1 large chain,REP-5adu,5adu-L_clean.pdb,Protein Data Bank,66252.6147,,,Periplasm,iJL1678,,,,iML1515_v1
b0974,P0AAM1,hyaC,Probable Ni/Fe-hydrogenase 1 B-type cytochrome subunit,REP-E00907,E00907_clean-X_clean.pdb,metaTASSER,27596.9926,0,,Inner_Membrane,iJL1678,,,,iML1515_v1
b0975,P19930,hyaD,Hydrogenase 1 maturation protease,REP-E00908,E00908_clean-X_clean.pdb,metaTASSER,21546.1694,1.26E-07,212,Cytosol,EchoLOCATION predicted,x,,,iML1515_v1
b0976,P19931,hyaE,Hydrogenase-1 operon protein HyaE,REP-2hfd,2hfd-A_clean.pdb,Protein Data Bank,14889.611,,,Cytosol,EchoLOCATION predicted,,,,iML1515_v1
b0977,P19932,hyaF,Hydrogenase-1 operon protein HyaF,REP-E00910,E00910_clean-X_clean.pdb,metaTASSER,31430.3535,,,Cytosol,EchoLOCATION predicted,,,,iML1515_v1
b0978,P26459,appC,Cytochrome bd-II ubiquinol oxidase subunit 1,REP-E00911,E00911_clean-X_clean.pdb,metaTASSER,57919.1659,0,,Inner_Membrane,iJL1678,,,,iML1515_v1
b0979,P26458,appB,Cytochrome bd-II ubiquinol oxidase subunit 2,REP-E00912,E00912_clean-X_clean.pdb,metaTASSER,42423.342,0,,Inner_Membrane,iJL1678,,,,iML1515_v1
b0980,P07102,appA,Periplasmic AppA protein,REP-1dkq,1dkq-A_clean.pdb,Protein Data Bank,47056.2735,,,Periplasm,iJL1678,,,,iML1515_v1
b0981,P38134,etk,Tyrosine-protein kinase etk,REP-E00915,E00915_clean-X_clean.pdb,metaTASSER,81240.6799,0,,Inner_Membrane,EchoLOCATION experimental,,,,iML1515_v1
b0982,P0ACZ2,etp,Low molecular weight protein-tyrosine-phosphatase Etp,REP-7_148_4d74.1.A_59cbf89414055028d4c55487,b0982_7_148_4d74_clean.pdb,SWISS-MODEL,16385.7662,,,Cytosol,EchoLOCATION predicted,,,,iML1515_v1
b0983,P0A932,gfcE,Putative polysaccharide export protein GfcE,REP-22_376_2j58.1.A_59f23eefc730d4bda302561f,b0983_22_376_2j58_clean.pdb,SWISS-MODEL,41740.2577,,,Cytosol,Arbitrary assignment,,,,iML1515_v1
b0984,P75882,gfcD,Uncharacterized lipoprotein GfcD,REP-E00918,E00918_clean-X_clean.pdb,metaTASSER,78686.1868,,,Cytosol,Arbitrary assignment,,,,iML1515_v1
b0985,P75883,gfcC,Uncharacterized protein GfcC,REP-3p42,3p42-A_clean.pdb,Protein Data Bank,27295.781,,,Cytosol,Arbitrary assignment,,,,iML1515_v1
b0986,P75884,gfcB,Uncharacterized lipoprotein GfcB,REP-2in5,2in5-A_clean.pdb,Protein Data Bank,24267.2945,,,Cytosol,Arbitrary assignment,,,,iML1515_v1
b0987,P75885,gfcA,Threonine-rich inner membrane protein GfcA,REP-E00921,E00921_clean-X_clean.pdb,metaTASSER,9507.3962,,,Cytosol,Arbitrary assignment,,,,iML1515_v1
b0988,P57998,insB4,Insertion element IS1 4 protein InsB,REP-E00923,E00923_clean-X_clean.pdb,metaTASSER,19699.5612,,,Cytosol,Arbitrary assignment,,,,iML1515_v1
b0989,P0A982,cspH,Cold shock-like protein CspH,REP-1_70_2l15.1.A_59cd34de1405503712bf25c8,b0989_1_70_2l15_clean.pdb,SWISS-MODEL,7719.9269,,,Cytosol,EchoLOCATION predicted,,,,iML1515_v1
b0990,P0A978,cspG,Cold shock-like protein CspG,REP-1_70_2l15.1.A_59cd35631405503712bf2fec,b0990_1_70_2l15_clean.pdb,SWISS-MODEL,7780.632,,,Cytosol,EchoLOCATION predicted,,,,iML1515_v1
b0991,P0AAA5,ymcE,Uncharacterized protein YmcE,REP-E00926,E00926_clean-X_clean.pdb,metaTASSER,8727.0803,0,,Inner_Membrane,EchoLOCATION predicted,,,,iML1515_v1
b0992,P52636,yccM,Putative electron transport protein YccM,REP-E00928,E00928_clean-X_clean.pdb,metaTASSER,40096.5811,0,,Inner_Membrane,EchoLOCATION experimental,,,,iML1515_v1
b0993,P39453,torS,Sensor protein TorS,REP-E00929,E00929_clean-X_clean.pdb,metaTASSER,101023.1249,0,,Inner_Membrane,EchoLOCATION predicted,,,,iML1515_v1
b0994,P38683,torT,Periplasmic protein TorT,REP-15_332_4yhs.1.A_59f22e683d4e1ddaa35f57fd,b0994_15_332_4yhs_clean.pdb,SWISS-MODEL,37864.2218,,,Periplasm,EchoLOCATION experimental,,,,iML1515_v1
b0995,P38684,torR,TorCAD operon transcriptional regulatory protein TorR,REP-5_226_4s04.1.B_59ca85a93d4e1dd725da87ed,b0995_5_226_4s04_clean.pdb,SWISS-MODEL,26232.8873,,,Cytosol,EchoLOCATION predicted,,,,iML1515_v1
b0996,P33226,torC,Cytochrome c-type protein TorC,REP-E00932,E00932_clean-X_clean.pdb,metaTASSER,43606.0714,0,,Inner_Membrane,iJL1678,,,,iML1515_v1
b0997,P33225,torA,Trimethylamine-N-oxide reductase 1,REP-48_834_1tmo.1.A_5a14536978ed5837eba41996,b0997_48_834_1tmo_clean.pdb,SWISS-MODEL,94454.8035,,,Periplasm,iJL1678,,,,iML1515_v1
b0998,P36662,torD,Chaperone protein TorD,REP-4_199_1n1c.1.A_59cb2db8afa3585bad039283,b0998_4_199_1n1c_clean.pdb,SWISS-MODEL,22573.4629,,,Cytosol,iJL1678,,,,iML1515_v1
b0999,P63264,cbpM,Chaperone modulatory protein CbpM,REP-2_100_3ucs.1.A_59cc98fb1405502bef870d3f,b0999_2_100_3ucs_clean.pdb,SWISS-MODEL,11512.0943,,,Cytosol,Arbitrary assignment,,,,iML1515_v1
b1000,P36659,cbpA,Curved DNA-binding protein,REP-E00936,E00936_clean-X_clean.pdb,metaTASSER,34454.5646,,,Cytosol,EchoLOCATION predicted,,,,iML1515_v1
b1001,P36661,yccE,Uncharacterized protein YccE,REP-E00937,E00937_clean-X_clean.pdb,metaTASSER,48354.8141,,,Cytosol,EchoLOCATION predicted,,,,iML1515_v1
b1002,P19926,agp,Glucose-1-phosphatase,REP-1nt4,1nt4-A_clean.pdb,Protein Data Bank,45682.3845,3.87E-07,86,Periplasm,iJL1678,,,,iML1515_v1
b1003,P0AB14,yccJ,Uncharacterized protein YccJ,REP-E00939,E00939_clean-X_clean.pdb,metaTASSER,8524.3886,3.87E-07,652,Cytosol,EchoLOCATION predicted,x,,,iML1515_v1
b1004,P0A8G6,wrbA,NAD(P)H dehydrogenase (quinone),REP-3b6i,3b6i-A_clean.pdb,Protein Data Bank,20845.3096,4.42E-07,746,Cytosol,EchoLOCATION predicted,x,,,iML1515_v1
b1006,P75892,rutG,Putative pyrimidine permease RutG,REP-19_429_3qe7.1.A_59fcb1ccc730d4612b87f196,b1006_19_429_3qe7_clean.pdb,SWISS-MODEL,45556.8723,0,,Inner_Membrane,iJL1678,,,,iML1515_v1
b1007,P75893,rutF,FMN reductase (NADH) RutF,REP-4_159_2r0x.1.A_59cbd0ea7aaa0d39a8f2ecbc,b1007_4_159_2r0x_clean.pdb,SWISS-MODEL,17749.1035,,,Cytosol,iJL1678,,,,iML1515_v1
b1008,P75894,rutE,Probable malonic semialdehyde reductase RutE,REP-8_196_3gr3.1.A_59cb2884afa35838004808c6,b1008_8_196_3gr3_clean.pdb,SWISS-MODEL,21570.1289,,,Cytosol,iJL1678,,,,iML1515_v1
b1009,P75895,rutD,Putative aminoacrylate hydrolase RutD,REP-3v48,3v48-A_clean.pdb,Protein Data Bank,28897.784,,,Cytosol,iJL1678,,,,iML1515_v1
b1010,P0AFQ5,rutC,Putative aminoacrylate peracid reductase RutC,REP-3v4d,3v4d-A_clean.pdb,Protein Data Bank,13762.6924,,,Cytosol,iJL1678,,,,iML1515_v1
b1011,P75897,rutB,Peroxyureidoacrylate/ureidoacrylate amidohydrolase RutB,REP-6_223_3irv.1.A_59ca86313d4e1df32014fdcd,b1011_6_223_3irv_clean.pdb,SWISS-MODEL,25208.357,,,Cytosol,iJL1678,,,,iML1515_v1
b1012,P75898,rutA,Pyrimidine monooxygenase RutA,REP-5wan,5wan-A_clean.pdb,Protein Data Bank,42218.4465,,,Cytosol,iJL1678,,,,iML1515_v1
b1013,P0ACU2,rutR,HTH-type transcriptional regulator RutR,REP-4jyk,4jyk-A_clean.pdb,Protein Data Bank,23687.3334,,,Cytosol,Arbitrary assignment,,,,iML1515_v1
b1014,P09546,putA,Bifunctional protein PutA,REP-85_1318_5kf6.1.A_59ccf836afa358708e8313bf,b1014_85_1318_5kf6_clean.pdb,SWISS-MODEL,143813.4336,2.85E-08,48,Cytosol,iJL1678,x,,,iML1515_v1
b1015,P07117,putP,Sodium/proline symporter,REP-E00951,E00951_clean-X_clean.pdb,metaTASSER,54343.5177,6.71341E-05,42,Inner_Membrane,iJL1678,x,,,iML1515_v1
b1018,P0AB24,efeO,Iron uptake system component EfeO,REP-E00952,E00952_clean-X_clean.pdb,metaTASSER,41137.125,3.41E-06,758,Periplasm,Heinemann 2016,,,,iML1515_v1
b1019,P31545,efeB,Deferrochelatase/peroxidase EfeB,REP-2y4d,2y4d-A_clean.pdb,Protein Data Bank,46753.6343,4.15E-09,7,Cytosol,Arbitrary assignment,x,,,iML1515_v1
b1020,P0A9K1,phoH,Protein PhoH,REP-E00954,E00954_clean-X_clean.pdb,metaTASSER,39264.4421,,,Cytosol,EchoLOCATION predicted,,,,iML1515_v1
b1021,P69432,pgaD,Biofilm PGA synthesis protein PgaD,REP-E00955,E00955_clean-X_clean.pdb,metaTASSER,16081.546,,,Cytosol,Arbitrary assignment,,,,iML1515_v1
b1022,P75905,pgaC,"Poly-beta-1,6-N-acetyl-D-glucosamine synthase",REP-E00956,E00956_clean-X_clean.pdb,metaTASSER,50765.223,,,Cytosol,Arbitrary assignment,,,,iML1515_v1
b1023,P75906,pgaB,"Poly-beta-1,6-N-acetyl-D-glucosamine N-deacetylase",REP-4f9d,4f9d-A_clean.pdb,Protein Data Bank,77411.8047,,7,Outer_Membrane,Heinemann 2016,,,,iML1515_v1
b1024,P69434,pgaA,"Poly-beta-1,6-N-acetyl-D-glucosamine export protein",REP-E00958,E00958_clean-X_clean.pdb,metaTASSER,92205.9849,,,Cytosol,Arbitrary assignment,,,,iML1515_v1
b1025,P75908,ycdT,Probable diguanylate cyclase YcdT,REP-E00959,E00959_clean-X_clean.pdb,metaTASSER,51781.9141,0,,Inner_Membrane,EchoLOCATION predicted,,,,iML1515_v1
b1026,P0CF82,insF4,Transposase InsF for insertion sequence IS3D,REP-3_275_5hoo.1.B_59c9da31ad01f04c4090d532,b1026_3_275_5hoo_clean.pdb,SWISS-MODEL,33540.0396,,,Cytosol,EchoLOCATION predicted,,,,iML1515_v1
b1027,P0CF69,insE4,Transposase InsE for insertion sequence IS3D,,,,11543.0052,,,Cytosol,Arbitrary assignment,,,,iML1515_v1
b1028,Q7DFV4,ymdE,Putative uncharacterized protein YmdE,,,,12007.6979,,,Cytosol,EchoLOCATION predicted,,,,iML1515_v1
b1029,P75910,ycdU,Uncharacterized protein YcdU,REP-E00962,E00962_clean-X_clean.pdb,metaTASSER,38667.9996,0,,Inner_Membrane,EchoLOCATION predicted,,,,iML1515_v1
b1033,P75913,ghrA,Glyoxylate/hydroxypyruvate reductase A,REP-3pp8,3pp8-A_clean.pdb,Protein Data Bank,35342.9845,7.25E-07,1222,Cytosol,iJL1678,x,,,iML1515_v1
b1034,P75914,ycdX,Probable phosphatase YcdX,REP-1m65,1m65-A_clean.pdb,Protein Data Bank,26890.2039,7.41E-08,125,Cytosol,EchoLOCATION predicted,x,,,iML1515_v1
b1035,P75915,ycdY,Chaperone protein YcdY,REP-3_181_1n1c.1.A_59cb5fdfc730d40855e42fc7,b1035_3_181_1n1c_clean.pdb,SWISS-MODEL,20724.1141,3.54E-07,597,Cytosol,EchoLOCATION predicted,x,,,iML1515_v1
b1036,P75916,ycdZ,Inner membrane protein YcdZ,REP-E00966,E00966_clean-X_clean.pdb,metaTASSER,17074.222,0,,Inner_Membrane,EchoLOCATION predicted,,,,iML1515_v1
b1037,P0AEA2,csgG,Curli production assembly/transport component CsgG,REP-4uv3,4uv3-A_clean.pdb,Protein Data Bank,30556.7791,,,Outer_Membrane,EchoLOCATION experimental,,,,iML1515_v1
b1038,P0AE98,csgF,Curli production assembly/transport component CsgF,REP-E00968,E00968_clean-X_clean.pdb,metaTASSER,15055.6156,,,Periplasm,EchoLOCATION experimental,,,,iML1515_v1
b1039,P0AE95,csgE,Curli production assembly/transport component CsgE,REP-22_129_2na4.1.A_59cc2df1a52be71d08cad4c5,b1039_22_129_2na4_clean.pdb,SWISS-MODEL,14878.6063,,,Periplasm,EchoLOCATION experimental,,,,iML1515_v1
b1040,P52106,csgD,CsgBAC operon transcriptional regulatory protein,REP-10_209_1kgs.1.A_59cbd6057aaa0d715a7c23c5,b1040_10_209_1kgs_clean.pdb,SWISS-MODEL,24935.1616,,,Cytosol,EchoLOCATION predicted,,,,iML1515_v1
b1041,P0ABK7,csgB,Minor curlin subunit,REP-E00971,E00971_clean-X_clean.pdb,metaTASSER,15881.6793,,,Outer_Membrane,EchoLOCATION experimental,,,,iML1515_v1
b1042,P28307,csgA,Major curlin subunit,REP-E00972,E00972_clean-X_clean.pdb,metaTASSER,15048.9719,,,Outer_Membrane,EchoLOCATION experimental,,,,iML1515_v1
b1043,P52107,csgC,Curli assembly protein CsgC,REP-2y2y,2y2y-A_clean.pdb,Protein Data Bank,11966.5078,,,Periplasm,EchoLOCATION predicted,,,,iML1515_v1
b1044,P75917,ymdA,Uncharacterized protein YmdA,REP-E00974,E00974_clean-X_clean.pdb,metaTASSER,11193.8815,,,Periplasm,EchoLOCATION predicted,,,,iML1515_v1
b1045,P0A8D6,ymdB,O-acetyl-ADP-ribose deacetylase,REP-5cb3,5cb3-A_clean.pdb,Protein Data Bank,18880.1564,1.19E-08,20,Cytosol,EchoLOCATION predicted,x,,,iML1515_v1
b1046,P75919,clsC,Cardiolipin synthase C,REP-E00976,E00976_clean-X_clean.pdb,metaTASSER,53665.2743,,,Cytosol,Arbitrary assignment,,,,iML1515_v1
b1047,P75920,mdoC,Glucans biosynthesis protein C,REP-E00977,E00977_clean-X_clean.pdb,metaTASSER,44689.8206,0,,Inner_Membrane,EchoLOCATION predicted,,,,iML1515_v1
b1048,P33136,mdoG,Glucans biosynthesis protein G,REP-1txk,1txk-A_clean.pdb,Protein Data Bank,57911.7614,3.57E-06,793,Periplasm,Heinemann 2016,,,,iML1515_v1
b1049,P62517,mdoH,Glucans biosynthesis glucosyltransferase H,REP-E00979,E00979_clean-X_clean.pdb,metaTASSER,96936.2385,4.79529E-05,30,Inner_Membrane,Heinemann 2016,x,,,iML1515_v1
b1050,P0AB31,yceK,Uncharacterized protein YceK,REP-E00980,E00980_clean-X_clean.pdb,metaTASSER,8442.7009,,,Outer_Membrane,EchoLOCATION experimental,,,,iML1515_v1
b1051,P25738,msyB,Acidic protein MsyB,REP-E00981,E00981_clean-X_clean.pdb,metaTASSER,14259.0362,6.60E-07,1113,Cytosol,EchoLOCATION predicted,x,,,iML1515_v1
b1053,P25744,mdtG,Multidrug resistance protein MdtG,REP-E00982,E00982_clean-X_clean.pdb,metaTASSER,43866.7482,,,Cytosol,Arbitrary assignment,,,,iML1515_v1
b1054,P0ACV0,lpxL,Lipid A biosynthesis lauroyltransferase,REP-19_306_5knk.1.A_59f2c55bad01f0a361c425e1,b1054_19_306_5knk_clean.pdb,SWISS-MODEL,35406.4492,,,Cytosol,iJL1678,,,,iML1515_v1
b1055,P24188,yceA,UPF0176 protein YceA,REP-E00984,E00984_clean-X_clean.pdb,metaTASSER,39780.8959,7.53E-08,127,Cytosol,EchoLOCATION predicted,x,,,iML1515_v1
b1056,P0A8X2,yceI,Protein YceI,REP-1y0g,1y0g-A_clean.pdb,Protein Data Bank,20912.1957,6.19E-06,1375,Periplasm,Heinemann 2016,,,,iML1515_v1
b1057,P75925,yceJ,Cytochrome b561 homolog 2,REP-E00986,E00986_clean-X_clean.pdb,metaTASSER,20736.1493,0,,Inner_Membrane,EchoLOCATION predicted,,,,iML1515_v1
b1058,P64442,yceO,Uncharacterized protein YceO,REP-E00987,E00987_clean-X_clean.pdb,metaTASSER,5897.1386,0,,Inner_Membrane,EchoLOCATION predicted,,,,iML1515_v1
b1059,P40874,solA,N-methyl-L-tryptophan oxidase,REP-2uzz,2uzz-A_clean.pdb,Protein Data Bank,40901.4961,6.05E-07,1020,Cytosol,iJL1678,x,,,iML1515_v1
b1060,P0AB33,bssS,Biofilm regulator BssS,REP-E00989,E00989_clean-X_clean.pdb,metaTASSER,9663.6536,,,Cytosol,Arbitrary assignment,,,,iML1515_v1
b1061,P0ABR1,dinI,DNA damage-inducible protein I,REP-1ghh,1ghh-A_clean.pdb,Protein Data Bank,8948.8648,7.00E-08,118,Cytosol,EchoLOCATION predicted,x,,,iML1515_v1
b1062,P05020,pyrC,Dihydroorotase,REP-2z26,2z26-A_clean.pdb,Protein Data Bank,38826.9433,2.42E-06,4085,Cytosol,iJL1678,x,,,iML1515_v1
b1063,P0AB26,yceB,Uncharacterized lipoprotein YceB,REP-20_185_3l6i.1.A_59cb60b6c730d424fda78c3f,b1063_20_185_3l6i_clean.pdb,SWISS-MODEL,20499.5016,,386,Outer_Membrane,Heinemann 2016,,,,iML1515_v1
b1064,P0AC59,grxB,Glutaredoxin 2,REP-4kx4,4kx4-A_clean.pdb,Protein Data Bank,24349.9203,5.59E-07,943,Cytosol,iJL1678,x,,,iML1515_v1
b1065,P69367,mdtH,Multidrug resistance protein MdtH,REP-E00994,E00994_clean-X_clean.pdb,metaTASSER,44362.7159,0,,Inner_Membrane,EchoLOCATION predicted,,,,iML1515_v1
b1066,P0A948,rimJ,Ribosomal-protein-alanine acetyltransferase,REP-12_192_3igr.1.A_59cb294bafa35854e5cf9424,b1066_12_192_3igr_clean.pdb,SWISS-MODEL,22687.571,,,Cytosol,EchoLOCATION predicted,,,,iML1515_v1
b1067,P29217,yceH,UPF0502 protein YceH,REP-E00996,E00996_clean-X_clean.pdb,metaTASSER,24177.0572,3.78E-07,637,Cytosol,EchoLOCATION predicted,x,,,iML1515_v1
b1068,P75931,yceM,Putative oxidoreductase YceM,REP-1tlt,1tlt-A_clean.pdb,Protein Data Bank,33681.1321,9.49E-09,16,Cytosol,Arbitrary assignment,x,,,iML1515_v1
b1069,P0AF16,murJ,Lipid II flippase MurJ,REP-4_505_5t77.1.A_59ca57adc730d446b09b4856,b1069_4_505_5t77_clean.pdb,SWISS-MODEL,55266.7912,0,,Inner_Membrane,iJL1678,,,,iML1515_v1
b1070,P43533,flgN,Flagella synthesis protein FlgN,REP-E00999,E00999_clean-X_clean.pdb,metaTASSER,15866.7384,7.19E-07,1213,Cytosol,EchoLOCATION predicted,x,,,iML1515_v1
b1071,P0AEM4,flgM,Negative regulator of flagellin synthesis,REP-E01000,E01000_clean-X_clean.pdb,metaTASSER,10340.477,5.27E-07,889,Cytosol,EchoLOCATION predicted,x,,,iML1515_v1
b1072,P75933,flgA,Flagella basal body P-ring formation protein FlgA,REP-23_219_3tee.1.A_59cab75cc730d432eb9d2bbb,b1072_23_219_3tee_clean.pdb,SWISS-MODEL,23518.7871,5.58E-07,124,Periplasm,EchoLOCATION experimental,,,,iML1515_v1
b1073,P0ABW9,flgB,Flagellar basal body rod protein FlgB,REP-E01002,E01002_clean-X_clean.pdb,metaTASSER,15240.0078,5.76E-07,128,Periplasm,EchoLOCATION experimental,,,,iML1515_v1
b1074,P0ABX2,flgC,Flagellar basal-body rod protein FlgC,REP-E01003,E01003_clean-X_clean.pdb,metaTASSER,13967.7782,5.18E-07,115,Periplasm,EchoLOCATION experimental,,,,iML1515_v1
b1075,P75936,flgD,Basal-body rod modification protein FlgD,REP-E01004,E01004_clean-X_clean.pdb,metaTASSER,23574.7174,,720,Outer_Membrane,EchoLOCATION experimental,,,,iML1515_v1
b1076,P75937,flgE,Flagellar hook protein FlgE,REP-2_402_3a69.1.A_59f290617aaa0d9f05dcc8a7,b1076_2_402_3a69_clean.pdb,SWISS-MODEL,42044.6882,,841,Outer_Membrane,EchoLOCATION experimental,,,,iML1515_v1
b1077,P75938,flgF,Flagellar basal-body rod protein FlgF,REP-4_247_3a69.1.A_59ca4228140550a37d27c9d7,b1077_4_247_3a69_clean.pdb,SWISS-MODEL,25911.8536,1.58E-07,35,Periplasm,EchoLOCATION experimental,,,,iML1515_v1
b1078,P0ABX5,flgG,Flagellar basal-body rod protein FlgG,REP-5wrh,5wrh-A_clean.pdb,Protein Data Bank,27743.5587,1.13E-06,251,Periplasm,EchoLOCATION experimental,,,,iML1515_v1
b1079,P0A6S0,flgH,Flagellar L-ring protein,REP-E01008,E01008_clean-X_clean.pdb,metaTASSER,24615.1694,,734,Outer_Membrane,Heinemann 2016,,,,iML1515_v1
b1080,P0A6S3,flgI,Flagellar P-ring protein,REP-E01009,E01009_clean-X_clean.pdb,metaTASSER,38169.0216,6.75E-08,15,Periplasm,EchoLOCATION experimental,,,,iML1515_v1
b1081,P75942,flgJ,Peptidoglycan hydrolase FlgJ,REP-E01010,E01010_clean-X_clean.pdb,metaTASSER,34474.7679,,,Cytosol,EchoLOCATION predicted,,,,iML1515_v1
b1082,P33235,flgK,Flagellar hook-associated protein 1,REP-E01011,E01011_clean-X_clean.pdb,metaTASSER,57929.1623,,323,Outer_Membrane,EchoLOCATION experimental,,,,iML1515_v1
b1083,P29744,flgL,Flagellar hook-associated protein 3,REP-3_317_5wjx.1.A_59f28ec47aaa0d2399fc3c2a,b1083_3_317_5wjx_clean.pdb,SWISS-MODEL,34280.6601,,323,Outer_Membrane,EchoLOCATION experimental,,,,iML1515_v1
b1084,P21513,rne,Ribonuclease E,REP-RNE_ECOLI,RNE_ECOLI_model1_clean-X_clean.pdb,I-TASSER,118195.2671,3.54E-07,597,Cytosol,iJL1678,x,,,iML1515_v1
b1085,P62066,yceQ,Uncharacterized protein YceQ,REP-E01014,E01014_clean-X_clean.pdb,metaTASSER,12099.8679,,,Cytosol,Arbitrary assignment,,,,iML1515_v1
b1086,P0AA39,rluC,Ribosomal large subunit pseudouridine synthase C,REP-8_316_2ist.1.A_59f27e4ce6291d97b85f69f6,b1086_8_316_2ist_clean.pdb,SWISS-MODEL,36026.1261,8.13E-08,137,Cytosol,iJL1678,x,,,iML1515_v1
b1087,P0A729,yceF,Maf-like protein YceF,REP-4jhc,4jhc-A_clean.pdb,Protein Data Bank,21690.5443,1.24E-07,209,Cytosol,Heinemann 2016,x,,,iML1515_v1
b1088,P0AB28,yceD,Large ribosomal RNA subunit accumulation protein YceD,REP-E01017,E01017_clean-X_clean.pdb,metaTASSER,19314.7011,5.74E-07,968,Cytosol,EchoLOCATION predicted,x,,,iML1515_v1
b1089,P0A7N4,rpmF,50S ribosomal protein L32,REP-5afi,5afi-0_clean.pdb,Protein Data Bank,6446.3097,1.81E-05,30574,Cytosol,iJL1678,x,,,iML1515_v1
b1090,P27247,plsX,Phosphate acyltransferase,REP-5_326_4jqp.1.A_59f1ec3c3d4e1dd8d12b1add,b1090_5_326_4jqp_clean.pdb,SWISS-MODEL,38213.979,1.78E-08,30,Cytosol,iJL1678,x,,,iML1515_v1
b1091,P0A6R0,fabH,3-oxoacyl-[acyl-carrier-protein] synthase 3,REP-1hnj,1hnj-A_clean.pdb,Protein Data Bank,33514.7413,9.61E-07,1621,Cytosol,iJL1678,x,,,iML1515_v1
b1092,P0AAI9,fabD,Malonyl CoA-acyl carrier protein transacylase,REP-1mla,1mla-A_clean.pdb,Protein Data Bank,32416.847,1.71E-06,2891,Cytosol,iJL1678,x,,,iML1515_v1
b1093,P0AEK2,fabG,3-oxoacyl-[acyl-carrier-protein] reductase FabG,REP-1q7b,1q7b-A_clean.pdb,Protein Data Bank,25560.0137,2.43E-06,4103,Cytosol,iJL1678,x,,,iML1515_v1
b1094,P0A6A8,acpP,Acyl carrier protein,REP-1l0i,1l0i-A_clean.pdb,Protein Data Bank,8639.4165,1.94E-05,32760,Cytosol,iJL1678,x,,,iML1515_v1
