 ,Gene,UniProt,NAME,Description,Structure_ID,PDB,Structure_source,MW,MOLARITY,Copy_number,Localization,Localization_source,INCLUDE,COLOR,NOTES,model_id,Copy_number2,NumUsed,Protein_stoichiometry,PDB_coverage,PDB_stoichiometry,PDB_quality,Localization_multiple,need_dummy,PRINCIPAL_VECTOR,OFFSET,JITTER_MAX,PRINCIPAL_VECTOR_source,TM1_residues,TM2_residues,molecules/sqA
1335,b1411,P76093,ynbD,Uncharacterized protein YnbD,REP-E01331,E01331_clean-X_clean.pdb,metaTASSER,49562.0606,,,Inner_Membrane,EchoLOCATION predicted,,,,iML1515_v1,,0,b1411:1,complete,E01331_clean-X_clean.pdb:1,all-homology,,,,,,,,,
1336,b1412,P41407,azoR,FMN-dependent NADH-azoreductase,REP-2z98,2z98-A_clean.pdb,Protein Data Bank,21657.4359,1.5820019337515954e-06,1686.0,Cytosol,EchoLOCATION predicted,x,,,iML1515_v1,1686.0,0,b1412:1,complete,2z98-A_clean.pdb:1,all-experimental,,,,,,,,,
1337,b1413,P43329,hrpA,ATP-dependent RNA helicase HrpA,REP-HRPA_ECOLI,HRPA_ECOLI_model1_clean-X_clean.pdb,I-TASSER,149026.0779,1.1259800240224879e-08,12.0,Cytosol,EchoLOCATION predicted,x,,,iML1515_v1,12.0,0,b1413:1,complete,HRPA_ECOLI_model1_clean-X_clean.pdb:1,all-homology,,,,,,,,,
1338,b1414,P34209,ydcF,Protein YdcF,REP-3ca8,3ca8-A_clean.pdb,Protein Data Bank,29705.3539,1.5200730324303586e-07,162.0,Cytosol,EchoLOCATION predicted,x,,,iML1515_v1,162.0,0,b1414:1,complete,3ca8-A_clean.pdb:1,all-experimental,,,,,,,,,
1339,b1415,P25553,aldA,Lactaldehyde dehydrogenase,REP-2imp,2imp-A_clean.pdb,Protein Data Bank,52272.1715,2.2050442137107054e-06,2350.0,Cytosol,iJL1678,x,,,iML1515_v1,2350.0,0,b1415:1,complete,2imp-A_clean.pdb:1,all-experimental,,,,,,,,,
1340,b1418,P0ABE5,cybB,Cytochrome b561,REP-E01336,E01336_clean-X_clean.pdb,metaTASSER,20286.2004,,,Inner_Membrane,EchoLOCATION predicted,,,,iML1515_v1,,0,b1418:1,complete,E01336_clean-X_clean.pdb:1,all-homology,,,,,,,,,
1341,b1419,P0ACW4,ydcA,Uncharacterized protein YdcA,REP-24_56_2jzm.1.A_59cd5fb9573f2092ccf45d6f,b1419_24_56_2jzm_clean.pdb,SWISS-MODEL,5859.8216,,,Periplasm,EchoLOCATION predicted,,,,iML1515_v1,,0,b1419:1,complete,b1419_24_56_2jzm_clean.pdb:1,all-homology,,,,,,,,,
1342,b1420,P76096,mokB,Regulatory protein MokB,REP-3_54_2l3n.1.A_59cd66297f4bf927be6ef867,b1420_3_54_2l3n_clean.pdb,SWISS-MODEL,5893.4703,,,Cytosol,EchoLOCATION predicted,,,,iML1515_v1,,0,b1420:1,complete,b1420_3_54_2l3n_clean.pdb:1,all-homology,,,,,,,,,
1343,b1421,P05704,trg,Methyl-accepting chemotaxis protein III,OPM-E01340,OPM-E01340.pdb,OPM-manual; metaTASSER,58898.1409,4.879246770764114e-08,52.0,Inner_Membrane,Heinemann 2016,x,,,iML1515_v1,52.0,0,b1421:1,complete,E01340_clean-X_clean.pdb:1,all-homology,,,"0,0,1",,,OPM,,,6.723575700997417e-08
1344,b1422,P77171,ydcI,Uncharacterized HTH-type transcriptional regulator YdcI,REP-9_305_2esn.1.A_5a19036c78ed58436eb67a1c,b1422_9_305_2esn_clean.pdb,SWISS-MODEL,33401.1172,1.2010453589573206e-07,128.0,Cytosol,EchoLOCATION predicted,x,,,iML1515_v1,128.0,0,b1422:1,complete,b1422_9_305_2esn_clean.pdb:1,all-homology,,,,,,,,,
1345,b1423,P76097,ydcJ,Uncharacterized protein YdcJ,REP-2rjb,2rjb-A_clean.pdb,Protein Data Bank,51042.0479,9.383166866854067e-10,1.0,Cytosol,EchoLOCATION predicted,x,,,iML1515_v1,1.0,0,b1423:1,complete,2rjb-A_clean.pdb:1,all-experimental,,,,,,,,,
1346,b1424,P40120,mdoD,Glucans biosynthesis protein D,REP-45_538_1txk.1.A_59caad5e140550aae0e0784e,b1424_45_538_1txk_clean.pdb,SWISS-MODEL,62757.2314,2.472362419154089e-07,64.0,Periplasm,Heinemann 2016,x,,,iML1515_v1,64.0,0,b1424:1,complete,b1424_45_538_1txk_clean.pdb:1,all-homology,,,,,,,,,
1347,b1426,P0ACW6,ydcH,Uncharacterized protein YdcH,REP-1_72_1zhc.1.A_59cd15827aaa0d490a1bc883,b1426_1_72_1zhc_clean.pdb,SWISS-MODEL,8878.166,9.383166866854067e-10,1.0,Cytosol,EchoLOCATION predicted,x,,,iML1515_v1,1.0,0,b1426:1,complete,b1426_1_72_1zhc_clean.pdb:1,all-homology,,,,,,,,,
1348,b1427,P13857,rimL,Ribosomal-protein-serine acetyltransferase,REP-1_176_1s7f.1.A_59cb96551405505f89cf321c,b1427_1_176_1s7f_clean.pdb,SWISS-MODEL,20680.3089,4.597751764758492e-08,49.0,Cytosol,Heinemann 2016,x,,,iML1515_v1,49.0,0,b1427:1,complete,b1427_1_176_1s7f_clean.pdb:1,all-homology,,,,,,,,,
1349,b1428,P76100,ydcK,Uncharacterized acetyltransferase YdcK,REP-3_322_2f9c.1.A_59f260c5e6291d7c5fe9f8b7,b1428_3_322_2f9c_clean.pdb,SWISS-MODEL,35848.8273,,,Cytosol,EchoLOCATION predicted,,,,iML1515_v1,,0,b1428:1,complete,b1428_3_322_2f9c_clean.pdb:1,all-homology,,,,,,,,,
1350,b1429,P25396,tehA,Tellurite resistance protein TehA,REP-1_316_3m73.1.A_59f290677aaa0d9f05dcc925,b1429_1_316_3m73_clean.pdb,SWISS-MODEL,35931.9392,,,Inner_Membrane,EchoLOCATION predicted,,,,iML1515_v1,,0,b1429:1,complete,b1429_1_316_3m73_clean.pdb:1,all-homology,,,,,,,,,
1351,b1430,P25397,tehB,Tellurite methyltransferase,REP-2xvm,2xvm-A_clean.pdb,Protein Data Bank,22530.4758,1.426241363761818e-07,152.0,Cytosol,Heinemann 2016,x,,,iML1515_v1,152.0,0,b1430:1,complete,2xvm-A_clean.pdb:1,all-experimental,,,,,,,,,
1352,b1431,P64451,ydcL,Uncharacterized lipoprotein YdcL,OPM-E01349,OPM-E01349.pdb,OPM-manual; metaTASSER,24426.6853,3.080175165348744e-07,408.0,Outer_Membrane,Heinemann 2016,x,,,iML1515_v1,408.0,0,b1431:1,complete,E01349_clean-X_clean.pdb:1,all-homology,,,"0,0,1",,,OPM,,,4.5328145778871974e-07
1353,b1432,P76102,insQ,Putative transposase InsQ for insertion sequence element IS609,REP-E01350,E01350_clean-X_clean.pdb,metaTASSER,43363.2592,,,Cytosol,Arbitrary assignment,,,,iML1515_v1,,0,b1432:1,complete,E01350_clean-X_clean.pdb:1,all-homology,,,,,,,,,
1354,b1433,P76103,ydcO,Inner membrane protein YdcO,REP-E01351,E01351_clean-X_clean.pdb,metaTASSER,40582.876000000004,,,Inner_Membrane,EchoLOCATION predicted,,,,iML1515_v1,,0,b1433:1,complete,E01351_clean-X_clean.pdb:1,all-homology,,,,,,,,,
1355,b1434,P77626,sutR,HTH-type transcriptional regulator SutR,REP-4_174_4j1x.1.A_59cb90171405501ac6a7eb01,b1434_4_174_4j1x_clean.pdb,SWISS-MODEL,19731.072,,,Cytosol,Arbitrary assignment,,,,iML1515_v1,,0,b1434:1,complete,b1434_4_174_4j1x_clean.pdb:1,all-homology,,,,,,,,,
1356,b1435,P76104,ydcP,Uncharacterized protease YdcP,REP-E01353,E01353_clean-X_clean.pdb,metaTASSER,72700.9486,1.8766333733708134e-09,2.0,Cytosol,EchoLOCATION predicted,x,,,iML1515_v1,2.0,0,b1435:1,complete,E01353_clean-X_clean.pdb:1,all-homology,,,,,,,,,
1357,b1436,P64459,yncJ,Uncharacterized protein YncJ,REP-E01354,E01354_clean-X_clean.pdb,metaTASSER,8708.7545,,,Periplasm,EchoLOCATION predicted,,,,iML1515_v1,,0,b1436:1,complete,E01354_clean-X_clean.pdb:1,all-homology,,,,,,,,,
1358,b1438,P67697,hicB,Antitoxin HicB,REP-1_132_4p7d.1.A_59cc1b09e6291df13198d6c1,b1438_1_132_4p7d_clean.pdb,SWISS-MODEL,15246.4392,5.254573445438277e-08,56.0,Cytosol,Arbitrary assignment,x,,,iML1515_v1,56.0,0,b1438:1,complete,b1438_1_132_4p7d_clean.pdb:1,all-homology,,,,,,,,,
1359,b1439,P77730,ydcR,Uncharacterized HTH-type transcriptional regulator YdcR,REP-2_465_4n0b.2.B_59ca094a7f4bf9351d698ec2,b1439_2_465_4n0b_clean.pdb,SWISS-MODEL,52792.1831,,,Cytosol,EchoLOCATION predicted,,,,iML1515_v1,,0,b1439:1,complete,b1439_2_465_4n0b_clean.pdb:1,all-homology,,,,,,,,,
1360,b1440,P76108,ydcS,Putative ABC transporter periplasmic-binding protein YdcS,REP-33_380_4jdf.1.A_59f23f19c730d4bda3025a25,b1440_33_380_4jdf_clean.pdb,SWISS-MODEL,42294.6867,4.2880035707203724e-07,111.0,Periplasm,iJL1678,x,,,iML1515_v1,111.0,0,b1440:1,complete,b1440_33_380_4jdf_clean.pdb:1,all-homology,,,,,,,,,
1361,b1441,P77795,ydcT,Uncharacterized ABC transporter ATP-binding protein YdcT,REP-3_334_3fvq.1.B_59f23f28c730d4bda3025b19,b1441_3_334_3fvq_clean.pdb,SWISS-MODEL,37040.1696,,,Cytosol,iJL1678,,,,iML1515_v1,,0,b1441:1,complete,b1441_3_334_3fvq_clean.pdb:1,all-homology,,,,,,,,,
1362,b1442,P77156,ydcU,Inner membrane ABC transporter permease protein YdcU,REP-25_309_4tqv.2.A_59c96f9bafa358ba13257234,b1442_25_309_4tqv_clean.pdb,SWISS-MODEL,34359.652,,,Inner_Membrane,iJL1678,,,,iML1515_v1,,0,b1442:1,complete,b1442_25_309_4tqv_clean.pdb:1,all-homology,,,,,,,,,
1363,b1443,P0AFR9,ydcV,Inner membrane ABC transporter permease protein YdcV,REP-9_258_2onk.1.C_59ca2540c730d4856d8d50b7,b1443_9_258_2onk_clean.pdb,SWISS-MODEL,28721.5183,,,Inner_Membrane,iJL1678,,,,iML1515_v1,,0,b1443:1,complete,b1443_9_258_2onk_clean.pdb:1,all-homology,,,,,,,,,
1364,b1444,P77674,prr,Gamma-aminobutyraldehyde dehydrogenase,REP-1wnd,1wnd-A_clean.pdb,Protein Data Bank,50829.4048,2.8149500600562197e-09,3.0,Cytosol,iJL1678,x,,,iML1515_v1,3.0,0,b1444:1,complete,1wnd-A_clean.pdb:1,all-experimental,,,,,,,,,
1365,b1445,P64453,ortT,Orphan toxin OrtT,REP-E01364,E01364_clean-X_clean.pdb,metaTASSER,6646.0036,,,Cytosol,Arbitrary assignment,,,,iML1515_v1,,0,b1445:1,complete,E01364_clean-X_clean.pdb:1,all-homology,,,,,,,,,
1366,b1446,P64455,ydcY,Uncharacterized protein YdcY,REP-E01365,E01365_clean-X_clean.pdb,metaTASSER,8799.7781,2.570987721518014e-07,274.0,Cytosol,EchoLOCATION predicted,x,,,iML1515_v1,274.0,0,b1446:1,complete,E01365_clean-X_clean.pdb:1,all-homology,,,,,,,,,
1367,b1447,P76111,ydcZ,Inner membrane protein YdcZ,REP-2_146_5i20.1.A_59cbf6d6140550a9d91fcc78,b1447_2_146_5i20_clean.pdb,SWISS-MODEL,15854.8797,,,Inner_Membrane,EchoLOCATION predicted,,,,iML1515_v1,,0,b1447:1,complete,b1447_2_146_5i20_clean.pdb:1,all-homology,,,,,,,,,
1368,b1448,P76112,mnaT,L-amino acid N-acyltransferase MnaT,REP-3dr8,3dr8-A_clean.pdb,Protein Data Bank,19247.4635,7.506533493483254e-09,8.0,Cytosol,Arbitrary assignment,x,,,iML1515_v1,8.0,0,b1448:1,complete,3dr8-A_clean.pdb:1,all-experimental,,,,,,,,,
1369,b1449,P76113,curA,NADPH-dependent curcumin reductase,REP-6_341_4b7c.2.B_59f236ee7aaa0d06f04d48f5,b1449_6_341_4b7c_clean.pdb,SWISS-MODEL,37609.304,1.0884473565550716e-07,116.0,Cytosol,Arbitrary assignment,x,,,iML1515_v1,116.0,0,b1449:1,complete,b1449_6_341_4b7c_clean.pdb:1,all-homology,,,,,,,,,
1370,b1450,P76114,mcbR,HTH-type transcriptional regulator McbR,REP-4p9f,4p9f-A_clean.pdb,Protein Data Bank,25151.1167,,,Cytosol,Arbitrary assignment,,,,iML1515_v1,,0,b1450:1,complete,4p9f-A_clean.pdb:1,all-experimental,,,,,,,,,
1371,b1451,P76115,yncD,Probable TonB-dependent receptor YncD,YNCD_ECOLI,YNCD_ECOLI_model1.pdb,I-TASSER,77259.7538,6.039559147742636e-09,8.0,Outer_Membrane,Heinemann 2016,x,,,iML1515_v1,8.0,0,b1451:1,complete,E01370_clean-X_clean.pdb:1,all-homology,,,"-0.032188187851577302,0.02460749571105849,0.99917885872233192",,,GEMbrane,"X_561,X_160,X_164,X_697,X_512,X_405,X_461,X_185,X_508,X_294,X_287,X_558,X_17,X_351,X_234,X_227,X_342","X_570,X_301,X_638,X_149,X_241,X_145,X_597,X_90,X_204,X_549,X_358,X_520,X_500,X_447,X_419,X_689,X_220,X_280,X_397,X_74,X_123,X_66,X_112,X_469,X_171,X_107,X_99,X_659,X_64,X_178,X_104",8.887871721347446e-09
1372,b1452,P76116,yncE,Uncharacterized protein YncE,REP-3vgz,3vgz-A_clean.pdb,Protein Data Bank,38612.4616,1.3536184244868635e-05,3504.0,Periplasm,Manual annotation,x,,,iML1515_v1,3504.0,0,b1452:1,complete,3vgz-A_clean.pdb:1,all-experimental,,,,,,,,,
1373,b1453,P77610,ansP,L-asparagine permease,REP-E01372,E01372_clean-X_clean.pdb,metaTASSER,54232.4337,,,Inner_Membrane,iJL1678,,,,iML1515_v1,,0,b1453:1,complete,E01372_clean-X_clean.pdb:1,all-homology,,,,,,,,,
1374,b1454,P76117,yncG,Uncharacterized GST-like protein YncG,REP-2_205_2gdr.1.A_59cb028a573f206d0cc2af00,b1454_2_205_2gdr_clean.pdb,SWISS-MODEL,23320.5881,,,Cytosol,EchoLOCATION predicted,,,,iML1515_v1,,0,b1454:1,complete,b1454_2_205_2gdr_clean.pdb:1,all-homology,,,,,,,,,
1375,b1455,P76118,yncH,Uncharacterized protein YncH,REP-E01374,E01374_clean-X_clean.pdb,metaTASSER,8269.981,,,Cytosol,EchoLOCATION predicted,,,,iML1515_v1,,0,b1455:1,complete,E01374_clean-X_clean.pdb:1,all-homology,,,,,,,,,
1376,b1456,P24211,rhsE,Putative protein RhsE,,,,77140.5972,,,Cytosol,EchoLOCATION predicted,,,,iML1515_v1,,0,b1456:1,,,,,,,,,,,,
1377,b1457,P31991,ydcD,Uncharacterized protein YdcD,REP-E01375,E01375_clean-X_clean.pdb,metaTASSER,18906.543,,,Inner_Membrane,EchoLOCATION predicted,,,,iML1515_v1,,0,b1457:1,complete,E01375_clean-X_clean.pdb:1,all-homology,,,,,,,,,
1378,b1459,P76119,yncI,Putative transposase YncI,,,,42652.4759,,,Cytosol,EchoLOCATION predicted,,,,iML1515_v1,,0,b1459:1,,,,,,,,,,,,
1379,b1460,P28917,ydcC,H repeat-associated putative transposase YdcC,REP-E01376,E01376_clean-X_clean.pdb,metaTASSER,43078.0794,,,Cytosol,EchoLOCATION predicted,,,,iML1515_v1,,0,b1460:1,complete,E01376_clean-X_clean.pdb:1,all-homology,,,,,,,,,
1380,b1461,P31992,pptA,Tautomerase PptA,REP-1gyx,1gyx-A_clean.pdb,Protein Data Bank,8672.8551,,,Cytosol,EchoLOCATION predicted,,,,iML1515_v1,,0,b1461:1,complete,1gyx-A_clean.pdb:1,all-experimental,,,,,,,,,
1381,b1462,P76121,yddH,Uncharacterized protein YddH,REP-7_188_3hmz.1.A_59cc3c3da52be7bf32962cc3,b1462_7_188_3hmz_clean.pdb,SWISS-MODEL,20966.6415,,,Cytosol,EchoLOCATION predicted,,,,iML1515_v1,,0,b1462:1,complete,b1462_7_188_3hmz_clean.pdb:1,all-homology,,,,,,,,,
1382,b1463,P77567,nhoA,N-hydroxyarylamine O-acetyltransferase,REP-1_273_1e2t.1.A_59c9e910c730d47b5303dc5c,b1463_1_273_1e2t_clean.pdb,SWISS-MODEL,32274.1882,,,Cytosol,iJL1678,,,,iML1515_v1,,0,b1463:1,complete,b1463_1_273_1e2t_clean.pdb:1,all-homology,,,,,,,,,
1383,b1464,P37757,yddE,Uncharacterized isomerase YddE,REP-1qy9,1qy9-A_clean.pdb,Protein Data Bank,32318.411,1.144746357756196e-07,122.0,Cytosol,EchoLOCATION predicted,x,,,iML1515_v1,122.0,0,b1464:1,complete,1qy9-A_clean.pdb:1,all-experimental,,,,,,,,,
1384,b1465,P0AF32,narV,Respiratory nitrate reductase 2 gamma chain,REP-2_226_3egw.1.C_59ca95e3573f209c5f5951ec,b1465_2_226_3egw_clean.pdb,SWISS-MODEL,26017.6247,,,Inner_Membrane,iJL1678,,,,iML1515_v1,,0,b1465:1,complete,b1465_2_226_3egw_clean.pdb:1,all-homology,,,,,,,,,
1385,b1466,P19317,narW,Probable nitrate reductase molybdenum cofactor assembly chaperone NarW,REP-E01382,E01382_clean-X_clean.pdb,metaTASSER,26160.2832,,,Cytosol,iJL1678,,,,iML1515_v1,,0,b1466:1,complete,E01382_clean-X_clean.pdb:1,all-homology,,,,,,,,,
1386,b1467,P19318,narY,Respiratory nitrate reductase 2 beta chain,REP-1_505_1y5l.1.B_59ca5ed2e6291d05c18345c5,b1467_1_505_1y5l_clean.pdb,SWISS-MODEL,58557.2722,,,Cytosol,iJL1678,,,,iML1515_v1,,0,b1467:1,complete,b1467_1_505_1y5l_clean.pdb:1,all-homology,,,,,,,,,
1387,b1468,P19319,narZ,Respiratory nitrate reductase 2 alpha chain,REP-2_1244_1q16.1.A_59ccd870c730d484601f2749,b1468_2_1244_1q16_clean.pdb,SWISS-MODEL,140225.0188,,,Cytosol,iJL1678,,,,iML1515_v1,,0,b1468:1,complete,b1468_2_1244_1q16_clean.pdb:1,all-homology,,,,,,,,,
1388,b1469,P37758,narU,Nitrate/nitrite transporter NarU,REP-4iu9,4iu9-A_clean.pdb,Protein Data Bank,49889.5403,,,Inner_Membrane,iJL1678,,,,iML1515_v1,,0,b1469:1,complete,4iu9-A_clean.pdb:1,all-experimental,,,,,,,,,
1389,b1470,P76122,yddJ,Uncharacterized protein YddJ,,,,12871.3848,,,Cytosol,EchoLOCATION predicted,,,,iML1515_v1,,0,b1470:1,,,,,,,,,,,,
1390,b1471,P76123,yddK,Putative uncharacterized protein YddK,REP-7_301_5il7.1.B_59c95d04eb80f73fa6743b1f,b1471_7_301_5il7_clean.pdb,SWISS-MODEL,36240.4258,,,Cytosol,EchoLOCATION predicted,,,,iML1515_v1,,0,b1471:1,complete,b1471_7_301_5il7_clean.pdb:1,all-homology,,,,,,,,,
1391,b1472,P77519,yddL,Putative uncharacterized protein YddL,REP-22_95_1bt9.1.A_59ccaf31a52be71b93abcfd8,b1472_22_95_1bt9_clean.pdb,SWISS-MODEL,10735.9154,,,Periplasm,EchoLOCATION predicted,,,,iML1515_v1,,0,b1472:1,complete,b1472_22_95_1bt9_clean.pdb:1,all-homology,,,,,,,,,
1392,b1473,P46136,yddG,Aromatic amino acid exporter YddG,REP-E01387,E01387_clean-X_clean.pdb,metaTASSER,31539.0637,,,Inner_Membrane,iJL1678,,,,iML1515_v1,,0,b1473:1,complete,E01387_clean-X_clean.pdb:1,all-homology,,,,,,,,,
1393,b1474,P24183,fdnG,"Formate dehydrogenase, nitrate-inducible, major subunit",REP-1kqf,1kqf-A_clean.pdb,Protein Data Bank,,,,Periplasm,iJL1678,,,,iML1515_v1,,0,b1474:1,complete,1kqf-A_clean.pdb:1,all-experimental,,,,,,,,,
1394,b1475,P0AAJ3,fdnH,"Formate dehydrogenase, nitrate-inducible, iron-sulfur subunit",REP-1kqf,1kqf-B_clean.pdb,Protein Data Bank,32238.4062,,,Inner_Membrane,iJL1678,,,,iML1515_v1,,0,b1475:1,complete,1kqf-B_clean.pdb:1,all-experimental,,,,,,,,,
1395,b1476,P0AEK7,fdnI,"Formate dehydrogenase, nitrate-inducible, cytochrome b556(Fdn) subunit",REP-1kqf,1kqf-C_clean.pdb,Protein Data Bank,25368.1979,,,Inner_Membrane,iJL1678,,,,iML1515_v1,,0,b1476:1,complete,1kqf-C_clean.pdb:1,all-experimental,,,,,,,,,
1396,b1477,P67699,yddM,Uncharacterized HTH-type transcriptional regulator YddM,REP-2ict,2ict-A_clean.pdb,Protein Data Bank,10400.9719,5.0669101081011956e-08,54.0,Cytosol,EchoLOCATION predicted,x,,,iML1515_v1,54.0,0,b1477:1,complete,2ict-A_clean.pdb:1,all-experimental,,,,,,,,,
1397,b1478,P39451,adhP,"Alcohol dehydrogenase, propanol-preferring",REP-4gkv,4gkv-A_clean.pdb,Protein Data Bank,35379.1794,4.691583433427032e-09,5.0,Cytosol,iJL1678,x,,,iML1515_v1,5.0,0,b1478:1,complete,4gkv-A_clean.pdb:1,all-experimental,,,,,,,,,
1398,b1479,P26616,maeA,NAD-dependent malic enzyme,REP-8_563_3wja.1.A_5a03187978ed5849b75180c7,b1479_8_563_3wja_clean.pdb,SWISS-MODEL,63196.5875,4.5977517647584916e-07,490.0,Cytosol,iJL1678,x,,,iML1515_v1,490.0,0,b1479:1,complete,b1479_8_563_3wja_clean.pdb:1,all-homology,,,,,,,,,
1399,b1480,P68191,sra,Stationary-phase-induced ribosome-associated protein,REP-E01394,E01394_clean-X_clean.pdb,metaTASSER,5095.7619,0.0,1332.0,Cytosol,iJL1678,,,,iML1515_v1,0.0,1332,b1480:1,complete,E01394_clean-X_clean.pdb:1,all-homology,,,,,,,,,
1400,b1481,P76127,bdm,Protein bdm,REP-E01395,E01395_clean-X_clean.pdb,metaTASSER,7986.7309,,,Cytosol,EchoLOCATION predicted,,,,iML1515_v1,,0,b1481:1,complete,E01395_clean-X_clean.pdb:1,all-homology,,,,,,,,,
1401,b1482,P0C0L2,osmC,Peroxiredoxin OsmC,REP-1qwi,1qwi-A_clean.pdb,Protein Data Bank,15087.965,2.374879534000764e-06,2531.0,Cytosol,Heinemann 2016,x,,,iML1515_v1,2531.0,0,b1482:1,complete,1qwi-A_clean.pdb:1,all-experimental,,,,,,,,,
1402,b1483,P77622,ddpF,"Probable D,D-dipeptide transport ATP-binding protein DdpF",REP-2_307_4fwi.1.A_59f2ba3dafa3585f4af90e9e,b1483_2_307_4fwi_clean.pdb,SWISS-MODEL,34620.5303,,,Cytosol,iJL1678,,,,iML1515_v1,,0,b1483:1,complete,b1483_2_307_4fwi_clean.pdb:1,all-homology,,,,,,,,,
1403,b1484,P77268,ddpD,"Probable D,D-dipeptide transport ATP-binding protein DdpD",REP-2_322_4fwi.1.A_59f258f97aaa0da9596f2235,b1484_2_322_4fwi_clean.pdb,SWISS-MODEL,36099.4597,,,Cytosol,iJL1678,,,,iML1515_v1,,0,b1484:1,complete,b1484_2_322_4fwi_clean.pdb:1,all-homology,,,,,,,,,
1404,b1485,P77463,ddpC,"Probable D,D-dipeptide transport system permease protein DdpC",REP-E01399,E01399_clean-X_clean.pdb,metaTASSER,31970.5441,,,Inner_Membrane,iJL1678,,,,iML1515_v1,,0,b1485:1,complete,E01399_clean-X_clean.pdb:1,all-homology,,,,,,,,,
1405,b1486,P77308,ddpB,"Probable D,D-dipeptide transport system permease protein DdpB",REP-E01400,E01400_clean-X_clean.pdb,metaTASSER,37344.5498,,,Inner_Membrane,iJL1678,,,,iML1515_v1,,0,b1486:1,complete,E01400_clean-X_clean.pdb:1,all-homology,,,,,,,,,
1406,b1487,P76128,ddpA,"Probable D,D-dipeptide-binding periplasmic protein DdpA",REP-30_509_5f1q.1.A_59ca6121a52be74277c4474f,b1487_30_509_5f1q_clean.pdb,SWISS-MODEL,57640.5001,,,Periplasm,iJL1678,,,,iML1515_v1,,0,b1487:1,complete,b1487_30_509_5f1q_clean.pdb:1,all-homology,,,,,,,,,
1407,b1488,P77790,ddpX,D-alanyl-D-alanine dipeptidase,REP-4_181_1r44.1.A_59cb2a74afa3587c13099ae7,b1488_4_181_1r44_clean.pdb,SWISS-MODEL,21212.8056,,,Cytosol,iJL1678,,,,iML1515_v1,,0,b1488:1,complete,b1488_4_181_1r44_clean.pdb:1,all-homology,,,,,,,,,
1408,b1489,P76129,dosP,Oxygen sensor protein DosP,REP-E01403,E01403_clean-X_clean.pdb,metaTASSER,90259.3349,,,Cytosol,iJL1678,,,,iML1515_v1,,0,b1489:1,complete,E01403_clean-X_clean.pdb:1,all-homology,,,,,,,,,
1409,b1490,P0AA89,dosC,Diguanylate cyclase DosC,REP-E01404,E01404_clean-X_clean.pdb,metaTASSER,53177.0289,,,Cytosol,Arbitrary assignment,,,,iML1515_v1,,0,b1490:1,complete,E01404_clean-X_clean.pdb:1,all-homology,,,,,,,,,
1410,b1491,P64426,yddW,UPF0748 lipoprotein YddW,REP-E01405,E01405_clean-X_clean.pdb,metaTASSER,49573.7163,,,Outer_Membrane,EchoLOCATION experimental,,,,iML1515_v1,,0,b1491:1,complete,E01405_clean-X_clean.pdb:1,all-homology,,,,,,,,,
1411,b1492,P63235,gadC,Probable glutamate/gamma-aminobutyrate antiporter,REP-4djk,4djk-A_clean.pdb,Protein Data Bank,55075.9979,,,Inner_Membrane,iJL1678,,,,iML1515_v1,,0,b1492:1,complete,4djk-A_clean.pdb:1,all-experimental,,,,,,,,,
1412,b1493,P69910,gadB,Glutamate decarboxylase beta,REP-2dgm,2dgm-A_clean.pdb,Protein Data Bank,52667.535,,,Cytosol,iJL1678,,,,iML1515_v1,,0,b1493:1,complete,2dgm-A_clean.pdb:1,all-experimental,,,,,,,,,
1413,b1494,P31828,pqqL,Probable zinc protease PqqL,REP-33_931_4l3t.1.A_59cc4c687f4bf90805d7f8b0,b1494_33_931_4l3t_clean.pdb,SWISS-MODEL,104655.1874,1.5013066986966507e-08,16.0,Cytosol,EchoLOCATION predicted,x,,,iML1515_v1,16.0,0,b1494:1,complete,b1494_33_931_4l3t_clean.pdb:1,all-homology,,,,,,,,,
1414,b1495,P31827,yddB,Uncharacterized protein YddB,REP-E01409,E01409_clean-X_clean.pdb,metaTASSER,89281.7784,,,Periplasm,EchoLOCATION predicted,,,,iML1515_v1,,0,b1495:1,complete,E01409_clean-X_clean.pdb:1,all-homology,,,,,,,,,
1415,b1496,P31826,yddA,Inner membrane ABC transporter ATP-binding protein YddA,REP-12_559_4ry2.1.A_59cacd5a573f201757834c14,b1496_12_559_4ry2_clean.pdb,SWISS-MODEL,64984.0358,,,Inner_Membrane,EchoLOCATION predicted,,,,iML1515_v1,,0,b1496:1,complete,b1496_12_559_4ry2_clean.pdb:1,all-homology,,,,,,,,,
1416,b1497,P76134,ydeM,Anaerobic sulfatase-maturating enzyme homolog YdeM,REP-1_366_4k36.1.A_59f24840eb80f79e66127f5f,b1497_1_366_4k36_clean.pdb,SWISS-MODEL,44517.39599999999,,,Cytosol,EchoLOCATION predicted,,,,iML1515_v1,,0,b1497:1,complete,b1497_1_366_4k36_clean.pdb:1,all-homology,,,,,,,,,
1417,b1498,P77318,ydeN,Uncharacterized sulfatase YdeN,REP-56_540_5aj9.1.A_59cacfb8573f204affcb7971,b1498_56_540_5aj9_clean.pdb,SWISS-MODEL,62801.4677,3.863066279928264e-09,1.0,Periplasm,EchoLOCATION predicted,x,,,iML1515_v1,1.0,0,b1498:1,complete,b1498_56_540_5aj9_clean.pdb:1,all-homology,,,,,,,,,
